step,ce
5001.0,3.1015138626098633
5002.0,3.088493585586548
5003.0,3.084080696105957
5004.0,3.113492012023926
5005.0,3.0812835693359375
5006.0,3.048783540725708
5007.0,3.1005425453186035
5008.0,3.1142687797546387
5009.0,3.0990521907806396
5010.0,3.0810391902923584
5011.0,3.0894036293029785
5012.0,3.0866992473602295
5013.0,3.0934438705444336
5014.0,3.0905025005340576
5015.0,3.087071418762207
5016.0,3.0815229415893555
5017.0,3.0843636989593506
5018.0,3.0791635513305664
5019.0,3.081245183944702
5020.0,3.080998182296753
5021.0,3.0807411670684814
5022.0,3.0867340564727783
5023.0,3.1182637214660645
5024.0,3.1151084899902344
5025.0,3.096205949783325
5026.0,3.0579311847686768
5027.0,3.147540330886841
5028.0,3.1073031425476074
5029.0,3.0983457565307617
5030.0,3.066574811935425
5031.0,3.112082004547119
5032.0,3.100766658782959
5033.0,3.0593390464782715
5034.0,3.1069419384002686
5035.0,3.102691411972046
5036.0,3.071714401245117
5037.0,3.0897254943847656
5038.0,3.075495719909668
5039.0,3.0649242401123047
5040.0,3.0772547721862793
5041.0,3.079130172729492
5042.0,3.1006951332092285
5043.0,3.0877163410186768
5044.0,3.1106090545654297
5045.0,3.1036646366119385
5046.0,3.088263750076294
5047.0,3.0798823833465576
5048.0,3.0843327045440674
5049.0,3.0890631675720215
5050.0,3.108487606048584
5051.0,3.0937979221343994
5052.0,3.083777666091919
5053.0,3.105193853378296
5054.0,3.096021890640259
5055.0,3.0659070014953613
5056.0,3.0793755054473877
5057.0,3.095423698425293
5058.0,3.0808444023132324
5059.0,3.080367088317871
5060.0,3.0877373218536377
5061.0,3.0634419918060303
5062.0,3.091998815536499
5063.0,3.074564218521118
5064.0,3.0661494731903076
5065.0,3.065321683883667
5066.0,3.0831072330474854
5067.0,3.1058948040008545
5068.0,3.0877368450164795
5069.0,3.0898234844207764
5070.0,3.1017744541168213
5071.0,3.0737392902374268
5072.0,3.0662381649017334
5073.0,3.0594189167022705
5074.0,3.069124221801758
5075.0,3.115377426147461
5076.0,3.07360577583313
5077.0,3.079502582550049
5078.0,3.078488349914551
5079.0,3.094541549682617
5080.0,3.1026909351348877
5081.0,3.0804848670959473
5082.0,3.0765540599823
5083.0,3.069094181060791
5084.0,3.070408821105957
5085.0,3.048658847808838
5086.0,3.0760040283203125
5087.0,3.097907066345215
5088.0,3.0941851139068604
5089.0,3.0707592964172363
5090.0,3.0672569274902344
5091.0,3.0875775814056396
5092.0,3.075718641281128
5093.0,3.0927233695983887
5094.0,3.0913589000701904
5095.0,3.104681968688965
5096.0,3.095555067062378
5097.0,3.061631441116333
5098.0,3.0573108196258545
5099.0,3.07077693939209
5100.0,3.076451301574707
5101.0,3.0678017139434814
5102.0,3.085059881210327
5103.0,3.0567712783813477
5104.0,3.099456787109375
5105.0,3.05360746383667
5106.0,3.079341173171997
5107.0,3.09086012840271
5108.0,3.075968027114868
5109.0,3.057543992996216
5110.0,3.0535597801208496
5111.0,3.0958573818206787
5112.0,3.092447519302368
5113.0,3.087167263031006
5114.0,3.075681209564209
5115.0,3.07834529876709
5116.0,3.0742383003234863
5117.0,3.0544817447662354
5118.0,3.080507516860962
5119.0,3.085047483444214
5120.0,3.074432849884033
5121.0,3.103539228439331
5122.0,3.0913329124450684
5123.0,3.0530622005462646
5124.0,3.092029571533203
5125.0,3.1247000694274902
5126.0,3.1259849071502686
5127.0,3.084869384765625
5128.0,3.099567174911499
5129.0,3.0380547046661377
5130.0,3.0733630657196045
5131.0,3.047011613845825
5132.0,3.055525302886963
5133.0,3.0850272178649902
5134.0,3.1241085529327393
5135.0,3.052292823791504
5136.0,3.080535411834717
5137.0,3.090500831604004
5138.0,3.0833823680877686
5139.0,3.121307373046875
5140.0,3.08860182762146
5141.0,3.0602316856384277
5142.0,3.0634467601776123
5143.0,3.096031904220581
5144.0,3.0790863037109375
5145.0,3.0937955379486084
5146.0,3.0756373405456543
5147.0,3.075890302658081
5148.0,3.0650594234466553
5149.0,3.068192720413208
5150.0,3.0752270221710205
5151.0,3.093954086303711
5152.0,3.1069769859313965
5153.0,3.0621895790100098
5154.0,3.0517189502716064
5155.0,3.049590587615967
5156.0,3.102412700653076
5157.0,3.0574347972869873
5158.0,3.0397701263427734
5159.0,3.077738046646118
5160.0,3.0840322971343994
5161.0,3.0829315185546875
5162.0,3.0416111946105957
5163.0,3.059603452682495
5164.0,3.0952212810516357
5165.0,3.0701122283935547
5166.0,3.0735087394714355
5167.0,3.068060874938965
5168.0,3.0665948390960693
5169.0,3.0895402431488037
5170.0,3.0764577388763428
5171.0,3.0851593017578125
5172.0,3.054168224334717
5173.0,3.06219744682312
5174.0,3.08014178276062
5175.0,3.050429582595825
5176.0,3.0681991577148438
5177.0,3.0371205806732178
5178.0,3.0917508602142334
5179.0,3.050693988800049
5180.0,3.0504205226898193
5181.0,3.057826042175293
5182.0,3.100515127182007
5183.0,3.0722832679748535
5184.0,3.063126564025879
5185.0,3.087010145187378
5186.0,3.0630035400390625
5187.0,3.048964262008667
5188.0,3.0975472927093506
5189.0,3.077226400375366
5190.0,3.071211576461792
5191.0,3.0762715339660645
5192.0,3.072244167327881
5193.0,3.072523832321167
5194.0,3.0852458477020264
5195.0,3.0758681297302246
5196.0,3.078564405441284
5197.0,3.077064037322998
5198.0,3.1039302349090576
5199.0,3.074799060821533
5200.0,3.064746141433716
5201.0,3.0713796615600586
5202.0,3.0782673358917236
5203.0,3.0637335777282715
5204.0,3.099548101425171
5205.0,3.055310010910034
5206.0,3.0781240463256836
5207.0,3.096088171005249
5208.0,3.068708658218384
5209.0,3.087265968322754
5210.0,3.062243700027466
5211.0,3.088146686553955
5212.0,3.042107343673706
5213.0,3.0781235694885254
5214.0,3.0421276092529297
5215.0,3.07007098197937
5216.0,3.071147918701172
5217.0,3.082213878631592
5218.0,3.0691490173339844
5219.0,3.041942596435547
5220.0,3.04182767868042
5221.0,3.0605599880218506
5222.0,3.0784337520599365
5223.0,3.0651915073394775
5224.0,3.079465866088867
5225.0,3.0605432987213135
5226.0,3.0518996715545654
5227.0,3.0667293071746826
5228.0,3.0660412311553955
5229.0,3.0762810707092285
5230.0,3.0798189640045166
5231.0,3.063790798187256
5232.0,3.0752623081207275
5233.0,3.0469918251037598
5234.0,3.0917508602142334
5235.0,3.0781145095825195
5236.0,3.0631496906280518
5237.0,3.0680766105651855
5238.0,3.089495897293091
5239.0,3.0672080516815186
5240.0,3.0922648906707764
5241.0,3.0648083686828613
5242.0,3.0838863849639893
5243.0,3.067817449569702
5244.0,3.085350513458252
5245.0,3.0517475605010986
5246.0,3.057056427001953
5247.0,3.0661747455596924
5248.0,3.071284055709839
5249.0,3.0622286796569824
5250.0,3.0716705322265625
5251.0,3.089658498764038
5252.0,3.051649808883667
5253.0,3.0648131370544434
5254.0,3.0629427433013916
5255.0,3.050100326538086
5256.0,3.064375400543213
5257.0,3.029232978820801
5258.0,3.0795822143554688
5259.0,3.073119640350342
5260.0,3.0361931324005127
5261.0,3.0764670372009277
5262.0,3.084188938140869
5263.0,3.0824594497680664
5264.0,3.0727193355560303
5265.0,3.084076404571533
5266.0,3.0550589561462402
5267.0,3.077526569366455
5268.0,3.061338186264038
5269.0,3.0916452407836914
5270.0,3.0826094150543213
5271.0,3.0490119457244873
5272.0,3.084599256515503
5273.0,3.060392379760742
5274.0,3.0746865272521973
5275.0,3.0588958263397217
5276.0,3.0815467834472656
5277.0,3.056556224822998
5278.0,3.0971293449401855
5279.0,3.0612404346466064
5280.0,3.0733375549316406
5281.0,3.0571465492248535
5282.0,3.072964906692505
5283.0,3.0774457454681396
5284.0,3.067960739135742
5285.0,3.095909595489502
5286.0,3.0638279914855957
5287.0,3.07639741897583
5288.0,3.0998127460479736
5289.0,3.094486951828003
5290.0,3.0866026878356934
5291.0,3.055161476135254
5292.0,3.0629897117614746
5293.0,3.077064275741577
5294.0,3.0748214721679688
5295.0,3.0703320503234863
5296.0,3.0583953857421875
5297.0,3.047410249710083
5298.0,3.084567070007324
5299.0,3.0603339672088623
5300.0,3.085341215133667
5301.0,3.0991413593292236
5302.0,3.070035696029663
5303.0,3.070089101791382
5304.0,3.0681753158569336
5305.0,3.073633909225464
5306.0,3.0561909675598145
5307.0,3.0919606685638428
5308.0,3.0878214836120605
5309.0,3.0569651126861572
5310.0,3.064840793609619
5311.0,3.0694210529327393
5312.0,3.074021100997925
5313.0,3.073136806488037
5314.0,3.0406436920166016
5315.0,3.0581412315368652
5316.0,3.0578713417053223
5317.0,3.062974691390991
5318.0,3.0498647689819336
5319.0,3.071054220199585
5320.0,3.052885055541992
5321.0,3.0682809352874756
5322.0,3.0458943843841553
5323.0,3.042573928833008
5324.0,3.058077335357666
5325.0,3.037055015563965
5326.0,3.0739634037017822
5327.0,3.0512633323669434
5328.0,3.070666790008545
5329.0,3.0674548149108887
5330.0,3.0984115600585938
5331.0,3.060288667678833
5332.0,3.0762929916381836
5333.0,3.0790348052978516
5334.0,3.0614147186279297
5335.0,3.0527663230895996
5336.0,3.081404447555542
5337.0,3.077587842941284
5338.0,3.0607223510742188
5339.0,3.0419514179229736
5340.0,3.078949451446533
5341.0,3.072826623916626
5342.0,3.058555841445923
5343.0,3.055347204208374
5344.0,3.061160087585449
5345.0,3.0928964614868164
5346.0,3.0720303058624268
5347.0,3.0660011768341064
5348.0,3.099482536315918
5349.0,3.0419576168060303
5350.0,3.062645673751831
5351.0,3.0759499073028564
5352.0,3.069598913192749
5353.0,3.0443055629730225
5354.0,3.0593488216400146
5355.0,3.0733559131622314
5356.0,3.079597234725952
5357.0,3.0736489295959473
5358.0,3.0500471591949463
5359.0,3.0785884857177734
5360.0,3.0656440258026123
5361.0,3.055518388748169
5362.0,3.0799484252929688
5363.0,3.0846147537231445
5364.0,3.056932210922241
5365.0,3.0806384086608887
5366.0,3.0731072425842285
5367.0,3.075716733932495
5368.0,3.041846513748169
5369.0,3.0838160514831543
5370.0,3.079585313796997
5371.0,3.0572168827056885
5372.0,3.0670723915100098
5373.0,3.0646846294403076
5374.0,3.067188024520874
5375.0,3.0495262145996094
5376.0,3.0680291652679443
5377.0,3.0519979000091553
5378.0,3.0524742603302
5379.0,3.080623149871826
5380.0,3.062826156616211
5381.0,3.0642001628875732
5382.0,3.047703981399536
5383.0,3.037374973297119
5384.0,3.071805238723755
5385.0,3.0587782859802246
5386.0,3.07828688621521
5387.0,3.035127639770508
5388.0,3.052837371826172
5389.0,3.0885701179504395
5390.0,3.0700974464416504
5391.0,3.071715831756592
5392.0,3.05058217048645
5393.0,3.0566506385803223
5394.0,3.054678440093994
5395.0,3.0849664211273193
5396.0,3.0594687461853027
5397.0,3.0472733974456787
5398.0,3.0598208904266357
5399.0,3.0460269451141357
5400.0,3.0538790225982666
5401.0,3.081505537033081
5402.0,3.062282085418701
5403.0,3.0802793502807617
5404.0,3.0671584606170654
5405.0,3.0549092292785645
5406.0,3.0676989555358887
5407.0,3.059711217880249
5408.0,3.043606758117676
5409.0,3.0190341472625732
5410.0,3.046657085418701
5411.0,3.0387372970581055
5412.0,3.0517141819000244
