step,ce
1.0,11.639373779296875
2.0,11.640453338623047
3.0,11.630414962768555
4.0,11.576420783996582
5.0,11.404762268066406
6.0,10.86189079284668
7.0,10.631549835205078
8.0,10.627553939819336
9.0,10.616984367370605
10.0,10.619197845458984
11.0,10.765506744384766
12.0,10.994940757751465
13.0,10.98877239227295
14.0,10.636338233947754
15.0,10.13946533203125
16.0,9.886164665222168
17.0,9.74267578125
18.0,9.682910919189453
19.0,9.639806747436523
20.0,9.544185638427734
21.0,9.478341102600098
22.0,9.356457710266113
23.0,9.298391342163086
24.0,9.194453239440918
25.0,9.127960205078125
26.0,9.05024528503418
27.0,9.01382064819336
28.0,8.91991138458252
29.0,8.928894996643066
30.0,8.898665428161621
31.0,8.787858963012695
32.0,8.832798957824707
33.0,8.749204635620117
34.0,8.7561674118042
35.0,8.696922302246094
36.0,8.628613471984863
37.0,8.643186569213867
38.0,8.648082733154297
39.0,8.581926345825195
40.0,8.537006378173828
41.0,8.485912322998047
42.0,8.517562866210938
43.0,8.485390663146973
44.0,8.49144172668457
45.0,8.469168663024902
46.0,8.425281524658203
47.0,8.37019157409668
48.0,8.360116004943848
49.0,8.3524808883667
50.0,8.370687484741211
51.0,8.277876853942871
52.0,8.251280784606934
53.0,8.268421173095703
54.0,8.264945983886719
55.0,8.204839706420898
56.0,8.241053581237793
57.0,8.215147972106934
58.0,8.127633094787598
59.0,8.152750968933105
60.0,8.141106605529785
61.0,8.112873077392578
62.0,8.033604621887207
63.0,8.00341796875
64.0,8.046142578125
65.0,7.98823356628418
66.0,7.979538917541504
67.0,7.904385566711426
68.0,7.861577987670898
69.0,7.83950662612915
70.0,7.923725128173828
71.0,7.847928047180176
72.0,7.77518892288208
73.0,8.075183868408203
74.0,8.023018836975098
75.0,7.893191814422607
76.0,7.816551208496094
77.0,7.753988742828369
78.0,7.717695713043213
79.0,7.698071479797363
80.0,7.707919597625732
81.0,7.729806900024414
82.0,7.6534104347229
83.0,7.6071624755859375
84.0,7.6349077224731445
85.0,7.590417861938477
86.0,7.528099060058594
87.0,7.613004207611084
88.0,7.484077453613281
89.0,7.470929145812988
90.0,7.527304649353027
91.0,7.497135162353516
92.0,7.5221734046936035
93.0,7.451599597930908
94.0,7.494429588317871
95.0,7.401845455169678
96.0,7.444401264190674
97.0,7.404654026031494
98.0,7.442807674407959
99.0,7.4067912101745605
100.0,7.3181071281433105
101.0,7.33970308303833
102.0,7.44624137878418
103.0,7.322810173034668
104.0,7.313939571380615
105.0,7.279796600341797
106.0,7.329812049865723
107.0,7.302276611328125
108.0,7.256448745727539
109.0,7.309186935424805
110.0,7.21300745010376
111.0,7.160152435302734
112.0,7.15925931930542
113.0,7.16549015045166
114.0,7.198091506958008
115.0,7.1264190673828125
116.0,7.032377243041992
117.0,7.132506847381592
118.0,7.129974842071533
119.0,7.074399471282959
120.0,7.092891216278076
121.0,7.0798115730285645
122.0,7.082924842834473
123.0,7.024548530578613
124.0,7.049940586090088
125.0,7.092863082885742
126.0,6.971807479858398
127.0,7.06439733505249
128.0,7.092944622039795
129.0,7.007743835449219
130.0,7.008025646209717
131.0,6.903407573699951
132.0,7.0143046379089355
133.0,6.964626312255859
134.0,6.968005657196045
135.0,6.951170921325684
136.0,6.840433120727539
137.0,6.89772367477417
138.0,6.88539981842041
139.0,6.927300930023193
140.0,6.8568501472473145
141.0,6.872059345245361
142.0,6.826793670654297
143.0,6.8113322257995605
144.0,6.789785861968994
