step,ce
9.0,12.852375030517578
10.0,12.856632232666016
11.0,12.83961296081543
12.0,13.901420593261719
13.0,12.972155570983887
14.0,12.040257453918457
15.0,12.01447582244873
16.0,11.423726081848145
17.0,10.83455753326416
18.0,9.933947563171387
19.0,9.75400447845459
20.0,9.73598861694336
21.0,9.620956420898438
22.0,9.660306930541992
23.0,9.545883178710938
24.0,9.431855201721191
25.0,9.363395690917969
26.0,9.237786293029785
27.0,9.121997833251953
28.0,9.067574501037598
29.0,9.068965911865234
30.0,8.993550300598145
31.0,8.88780689239502
32.0,8.882307052612305
33.0,8.82237720489502
34.0,8.789230346679688
35.0,8.73288345336914
36.0,8.650259017944336
37.0,8.69616413116455
38.0,8.709795951843262
39.0,8.646139144897461
40.0,8.55839729309082
41.0,8.530406951904297
42.0,8.584195137023926
43.0,8.530749320983887
44.0,8.52656364440918
45.0,8.45030403137207
46.0,8.495115280151367
47.0,8.63746166229248
48.0,8.53682804107666
49.0,8.4479398727417
50.0,8.427581787109375
51.0,8.325398445129395
52.0,8.417119026184082
53.0,8.326224327087402
54.0,8.36356258392334
55.0,8.352510452270508
56.0,8.312402725219727
57.0,8.201950073242188
58.0,8.282748222351074
59.0,8.326129913330078
60.0,8.200697898864746
61.0,8.166495323181152
62.0,8.19074821472168
63.0,8.131048202514648
64.0,8.165985107421875
65.0,8.129711151123047
66.0,8.06346321105957
67.0,8.229743957519531
68.0,8.021810531616211
69.0,8.119192123413086
70.0,8.114853858947754
71.0,7.8964152336120605
72.0,8.135995864868164
73.0,8.278392791748047
74.0,8.361576080322266
75.0,8.043437004089355
76.0,8.015999794006348
77.0,8.094268798828125
78.0,8.007963180541992
79.0,7.9326372146606445
80.0,7.941737174987793
81.0,8.04468822479248
82.0,8.156413078308105
83.0,7.96584939956665
84.0,7.909173011779785
85.0,7.874566078186035
86.0,7.881130218505859
87.0,7.811079978942871
88.0,7.6768412590026855
89.0,7.6790595054626465
90.0,7.739901065826416
91.0,7.730576038360596
92.0,7.675084590911865
93.0,7.5566205978393555
94.0,7.700421333312988
95.0,7.620101451873779
96.0,7.481664180755615
97.0,7.424567222595215
98.0,7.497721195220947
99.0,7.504620552062988
100.0,7.449687480926514
101.0,7.474361419677734
102.0,7.516594886779785
103.0,7.4659223556518555
104.0,7.365238666534424
105.0,7.461239814758301
106.0,7.411564350128174
107.0,7.42056131362915
108.0,7.434313774108887
109.0,7.395615100860596
110.0,7.264249801635742
111.0,7.4050116539001465
112.0,7.267312526702881
113.0,7.353397846221924
114.0,7.370514869689941
115.0,7.273177146911621
116.0,7.235388278961182
117.0,7.281186103820801
118.0,7.23157262802124
119.0,7.206131458282471
120.0,7.19940185546875
121.0,7.103578090667725
122.0,7.139390468597412
123.0,7.139272212982178
124.0,7.149626731872559
125.0,7.143534183502197
126.0,7.064394950866699
127.0,7.061286926269531
128.0,7.0260009765625
129.0,7.07351541519165
130.0,7.0279927253723145
131.0,7.074473857879639
132.0,6.9863739013671875
133.0,6.98812198638916
134.0,6.986398220062256
135.0,7.010143756866455
136.0,6.8913397789001465
137.0,6.962491512298584
138.0,6.923656940460205
139.0,6.968981742858887
140.0,6.927255153656006
141.0,6.91313362121582
142.0,6.925960063934326
143.0,6.86090612411499
144.0,6.886513710021973
145.0,6.854689121246338
146.0,6.799964904785156
147.0,6.83615779876709
148.0,6.846458435058594
149.0,6.839362621307373
150.0,6.7350873947143555
151.0,6.837919235229492
152.0,6.75264835357666
153.0,6.82525110244751
154.0,6.751837730407715
155.0,6.688149929046631
156.0,6.825185775756836
157.0,6.799291610717773
158.0,6.703798770904541
159.0,6.801436901092529
160.0,6.657001972198486
161.0,6.7540411949157715
162.0,6.662846565246582
163.0,6.704235076904297
164.0,6.797153472900391
165.0,6.7523722648620605
166.0,6.656312465667725
