step,ce,tokens
52.0,6.609939,101000000.0
73.0,6.045307,141000000.0
87.0,5.767612,167000000.0
100.0,5.599015,192000000.0
128.0,5.210129,245000000.0
143.0,5.091491,274000000.0
194.0,4.629278,371000000.0
195.0,4.61918,373000000.0
197.0,4.591141,376000000.0
202.0,4.560009,386000000.0
222.0,4.47539,424000000.0
325.0,3.98121,620000000.0
346.0,4.04618,659000000.0
356.0,4.713138,678000000.0
365.0,4.870933,696000000.0
383.0,4.198773,730000000.0
388.0,4.057817,739000000.0
412.0,3.873744,785000000.0
440.0,3.66369,838000000.0
448.0,3.649213,853000000.0
486.0,3.52403,926000000.0
498.0,3.536927,948000000.0
511.0,3.489791,973000000.0
585.0,4.040969,1114000000.0
640.0,3.34475,1218000000.0
648.0,3.316071,1233000000.0
665.0,3.446954,1266000000.0
686.0,3.308465,1306000000.0
697.0,3.344339,1327000000.0
700.0,3.319949,1332000000.0
737.0,3.269888,1403000000.0
773.0,3.2364,1471000000.0
825.0,3.171335,1570000000.0
999.0,3.064635,1901000000.0
1027.0,3.035066,1954000000.0
1048.0,3.020209,1994000000.0
1052.0,3.019865,2001000000.0
1130.0,3.109451,2150000000.0
1139.0,3.038958,2167000000.0
1155.0,3.049853,2197000000.0
1172.0,2.993229,2229000000.0
1189.0,2.990681,2262000000.0
1284.0,2.924903,2442000000.0
1313.0,2.937689,2497000000.0
1320.0,2.969069,2511000000.0
1321.0,2.989281,2513000000.0
1332.0,2.942276,2533000000.0
1364.0,2.930866,2594000000.0
1374.0,2.937939,2613000000.0
1403.0,2.905131,2668000000.0
1414.0,2.943723,2689000000.0
1422.0,2.906666,2704000000.0
1499.0,2.886764,2851000000.0
1517.0,2.85568,2885000000.0
1538.0,2.881078,2925000000.0
1546.0,2.855247,2940000000.0
1563.0,2.835413,2972000000.0
1577.0,2.855211,2999000000.0
1591.0,2.835188,3026000000.0
1603.0,2.821364,3048000000.0
1637.0,2.840978,3113000000.0
1679.0,2.816708,3193000000.0
1725.0,2.823926,3280000000.0
1752.0,2.774468,3332000000.0
1768.0,2.793276,3362000000.0
1814.0,2.786118,3449000000.0
1832.0,2.778484,3484000000.0
1834.0,2.776151,3487000000.0
1852.0,2.781063,3522000000.0
1855.0,2.767064,3527000000.0
1880.0,2.73457,3575000000.0
1882.0,2.758261,3579000000.0
1888.0,2.773764,3590000000.0
1919.0,2.772985,3649000000.0
1921.0,2.775476,3653000000.0
1996.0,2.755886,3795000000.0
2142.0,2.725266,4073000000.0000005
2218.0,2.711988,4216999999.9999995
2252.0,2.720315,4282000000.0
2312.0,2.687024,4396000000.0
2327.0,2.680887,4424000000.0
2409.0,2.676847,4580000000.0
2425.0,2.698076,4611000000.0
2430.0,2.688312,4620000000.0
2452.0,2.688812,4662000000.0
2474.0,2.71196,4704000000.0
2506.0,2.680713,4765000000.0
2511.0,2.7187,4774000000.0
2572.0,2.649189,4890000000.0
2630.0,2.687116,5000000000.0
2658.0,2.664924,5054000000.0
2667.0,2.687724,5071000000.0
2673.0,2.677195,5082000000.0
2722.0,2.675279,5175000000.0
2769.0,2.68667,5265000000.0
2791.0,2.680999,5306000000.0
2885.0,2.659283,5485000000.0
2896.0,2.643259,5506000000.0
2915.0,2.620823,5542000000.0
2923.0,2.66124,5557000000.0
2926.0,2.64472,5563000000.0
2991.0,2.663159,5686000000.0
2993.0,2.652124,5690000000.0
3044.0,2.654841,5787000000.0
3070.0,2.635815,5837000000.0
3104.0,2.626165,5901000000.0
3118.0,2.647283,5928000000.0
3125.0,2.638359,5941000000.0
3148.0,2.646008,5985000000.0
3160.0,2.636547,6008000000.0
3163.0,2.665259,6013000000.0
3205.0,2.629348,6093000000.0
3254.0,2.63275,6186000000.0
3258.0,2.648104,6194000000.0
3266.0,2.627105,6209000000.0
3275.0,2.646685,6226000000.0
3370.0,2.623838,6407000000.0
3395.0,2.61675,6454000000.0
3424.0,2.640501,6509000000.0
3445.0,2.601038,6549000000.0
3450.0,2.621563,6559000000.0
3537.0,2.61346,6724000000.0
3544.0,2.598059,6737000000.0
3567.0,2.605993,6781000000.0
3580.0,2.601174,6806000000.0
3662.0,2.587661,6962000000.0
3671.0,2.598977,6979000000.0
3728.0,2.595028,7087000000.0
3729.0,2.642674,7089000000.0
3775.0,2.614942,7176000000.0
3835.0,2.596457,7290000000.0
3867.0,2.59153,7351000000.0
3913.0,2.608782,7439000000.0
3923.0,2.619059,7458000000.0
3930.0,2.600451,7471000000.0
3933.0,2.589863,7477000000.0
3949.0,2.580968,7507000000.0
3975.0,2.59716,7557000000.0
4018.0,2.629506,7638000000.0
4028.0,2.610414,7657000000.0
4068.0,2.622705,7733000000.0
4106.0,2.585166,7806000000.0
4154.0,2.594859,7897000000.0
4193.0,2.601113,7971000000.0
4214.0,2.62096,8010999999.999999
4229.0,2.599642,8039000000.0
4249.0,2.573751,8077000000.0
4265.0,2.574586,8108000000.000001
4274.0,2.577716,8125000000.0
4299.0,2.608416,8172000000.000001
4389.0,2.615156,8343000000.0
4390.0,2.598501,8345000000.000001
4431.0,2.582154,8423000000.0
4499.0,2.549804,8552000000.0
4517.0,2.595293,8587000000.0
4539.0,2.587598,8628000000.0
4554.0,2.578241,8657000000.0
4574.0,2.590123,8695000000.0
4659.0,2.585216,8857000000.0
4689.0,2.569594,8914000000.0
4700.0,2.568504,8934000000.0
4703.0,2.554093,8940000000.0
4711.0,2.564891,8955000000.0
4713.0,2.554387,8959000000.0
4729.0,2.576982,8990000000.0
4746.0,2.558992,9022000000.0
4748.0,2.583858,9026000000.0
4757.0,2.582937,9043000000.0
4804.0,2.572788,9132000000.0
4852.0,2.585557,9223000000.0
4870.0,2.567807,9258000000.0
4953.0,2.551444,9415000000.0
4958.0,2.566717,9425000000.0
4961.0,2.575654,9430000000.0
4970.0,2.562626,9448000000.0
4971.0,2.584711,9450000000.0
4987.0,2.575536,9480000000.0
5035.0,2.550207,9571000000.0
5069.0,2.587835,9636000000.0
5090.0,2.569528,9676000000.0
5096.0,2.555438,9687000000.0
5129.0,2.570006,9750000000.0
5141.0,2.558209,9773000000.0
5157.0,2.532151,9803000000.0
5212.0,2.573413,9908000000.0
5217.0,2.565813,9917000000.0
5289.0,2.543612,10054000000.0
5310.0,2.551074,10094000000.0
5316.0,2.569304,10105000000.0
5327.0,2.57268,10126000000.0
5360.0,2.563423,10189000000.0
5389.0,2.555627,10244000000.0
5413.0,2.540879,10290000000.0
5432.0,2.550736,10326000000.0
5440.0,2.512629,10341000000.0
5459.0,2.532957,10377000000.0
5464.0,2.551898,10386000000.0
5473.0,2.564511,10404000000.0
5474.0,2.533498,10405000000.0
5516.0,2.543559,10485000000.0
5539.0,2.537188,10529000000.0
5584.0,2.582177,10615000000.0
5594.0,2.558169,10634000000.0
5608.0,2.529838,10660000000.0
5634.0,2.553946,10710000000.0
5647.0,2.547818,10734000000.0
5690.0,2.565605,10816000000.0
5741.0,2.548337,10913000000.0
5810.0,2.542804,11044000000.0
5824.0,2.550367,11071000000.0
5826.0,2.555991,11074000000.0
5846.0,2.532869,11112000000.0
5883.0,2.554567,11183000000.0
5899.0,2.567585,11213000000.0
5910.0,2.552942,11234000000.0
5911.0,2.537657,11236000000.0
5925.0,2.562081,11263000000.0
5930.0,2.536912,11272000000.0
5954.0,2.546543,11318000000.0
6025.0,2.572166,11453000000.0
6031.0,2.571039,11464000000.0
6082.0,2.553308,11561000000.0
6092.0,2.5599,11580000000.0
6113.0,2.532558,11620000000.0
6120.0,2.552515,11633000000.0
6154.0,2.528369,11698000000.0
6262.0,2.552336,11903000000.0
6263.0,2.544586,11905000000.0
6273.0,2.552097,11924000000.0
6307.0,2.553957,11989000000.0
6308.0,2.517178,11991000000.0
6392.0,2.538347,12150000000.0
6409.0,2.556602,12182000000.0
6413.0,2.51238,12190000000.0
6435.0,2.523305,12232000000.0
6451.0,2.532396,12262000000.0
6471.0,2.531039,12300000000.0
6500.0,2.543081,12355000000.0
6506.0,2.551283,12367000000.0
6523.0,2.580709,12399000000.0
6567.0,2.534251,12483000000.0
6607.0,2.545852,12559000000.0
6658.0,2.552411,12656000000.0
6721.0,2.547182,12775000000.0
6730.0,2.521968,12793000000.0
6772.0,2.547142,12872000000.0
6783.0,2.51142,12893000000.0
6820.0,2.547596,12964000000.0
6837.0,2.517588,12996000000.0
6868.0,2.557322,13055000000.0
6875.0,2.505361,13068000000.0
6880.0,2.533022,13078000000.0
6951.0,2.54171,13213000000.0
6962.0,2.515387,13233000000.0
7015.0,2.529637,13334000000.0
7025.0,2.529872,13353000000.0
7043.0,2.528098,13387000000.0
7070.0,2.553155,13439000000.0
7105.0,2.493063,13505000000.0
7191.0,2.54628,13669000000.0
7209.0,2.554232,13703000000.0
7256.0,2.520323,13792000000.0
7323.0,2.533113,13920000000.0
7374.0,2.540847,14017000000.0
7394.0,2.561992,14055000000.0
7413.0,2.517389,14091000000.0
7451.0,2.498028,14163000000.0
7459.0,2.553246,14178000000.0
7470.0,2.556144,14199000000.0
7487.0,2.535855,14231000000.0
7501.0,2.515095,14258000000.0
7565.0,2.51813,14380000000.0
7606.0,2.510746,14457000000.0
7634.0,2.505675,14511000000.0
7657.0,2.521394,14554000000.0
7660.0,2.514612,14560000000.0
7672.0,2.522568,14583000000.0
