step,ce,tokens
38.0,7.429927,102000000.0
59.0,6.471334,157000000.0
73.0,6.085544,194000000.0
114.0,5.401254,301000000.0
129.0,5.198562,341000000.0
180.0,4.715197,474000000.0
332.0,4.883073,873000000.0
342.0,4.479623,899000000.0
351.0,4.43391,923000000.0
374.0,3.924895,983000000.0
398.0,3.728684,1046000000.0
426.0,3.835894,1119000000.0
434.0,4.627967,1140000000.0
472.0,3.660557,1240000000.0
484.0,3.591254,1271000000.0
571.0,4.093826,1499000000.0
626.0,3.327861,1644000000.0
634.0,3.312258,1665000000.0
651.0,3.316302,1709000000.0
683.0,3.458052,1793000000.0
723.0,3.397755,1898000000.0
811.0,3.173558,2129000000.0
985.0,3.001264,2585000000.0
1013.0,3.026193,2658000000.0
1034.0,2.998846,2713000000.0
1038.0,3.004966,2724000000.0
1116.0,2.929301,2928000000.0
1125.0,2.905846,2952000000.0
1141.0,2.917028,2994000000.0
1158.0,2.895972,3038000000.0
1175.0,2.889943,3083000000.0
1270.0,2.834502,3332000000.0
1299.0,2.87301,3408000000.0
1306.0,2.906793,3426000000.0
1307.0,2.895866,3429000000.0
1318.0,2.848002,3458000000.0
1360.0,2.840783,3568000000.0
1389.0,2.804773,3644000000.0
1408.0,2.828421,3694000000.0
1485.0,2.796562,3895000000.0
1503.0,2.764968,3943000000.0
1524.0,2.763294,3998000000.0
1532.0,2.799808,4019000000.0
1549.0,2.788218,4062999999.9999995
1563.0,2.756641,4099999999.9999995
1577.0,2.791085,4136999999.9999995
1589.0,2.77501,4168000000.0
1623.0,2.743167,4256999999.9999995
1665.0,2.724126,4367000000.0
1711.0,2.701811,4488000000.0
1738.0,2.720281,4559000000.0
1754.0,2.713766,4601000000.0
1800.0,2.695011,4721000000.0
1818.0,2.677401,4768000000.0
1820.0,2.704216,4774000000.0
1838.0,2.660428,4821000000.0
1841.0,2.693869,4829000000.0
1866.0,2.694792,4894000000.0
1868.0,2.679891,4899000000.0
1874.0,2.673074,4915000000.0
1907.0,2.69707,5002000000.0
1982.0,2.645136,5198000000.0
2128.0,2.611833,5581000000.0
2204.0,2.624236,5780000000.0
2298.0,2.583463,6027000000.0
2313.0,2.576694,6066000000.0
2395.0,2.591699,6281000000.0
2411.0,2.605714,6323000000.0
2416.0,2.569385,6336000000.0
2438.0,2.567074,6394000000.0
2492.0,2.568268,6535000000.0
2497.0,2.569235,6548000000.0
2558.0,2.540081,6708000000.0
2616.0,2.561778,6860000000.0
