step,ce,tokens
42.0,7.152347,101000000.0
63.0,6.306414,151000000.0
77.0,5.986143,184000000.0
90.0,5.753036,215000000.0
118.0,5.333738,281000000.0
133.0,5.174987,316000000.0
184.0,4.749521,436000000.0
212.0,4.617008,503000000.0
315.0,4.115201,746000000.0
336.0,4.10184,795000000.0
346.0,4.081878,819000000.0
355.0,3.983073,840000000.0
378.0,3.87868,894000000.0
402.0,4.246887,951000000.0
430.0,3.737873,1016999999.9999999
438.0,3.707317,1036000000.0
476.0,4.326674,1125000000.0
488.0,4.342688,1154000000.0
575.0,3.431373,1359000000.0
630.0,3.328685,1489000000.0
638.0,3.294075,1508000000.0
655.0,3.273132,1548000000.0
676.0,3.311399,1597000000.0
687.0,3.40002,1623000000.0
727.0,3.268141,1718000000.0
815.0,3.128046,1925000000.0
989.0,3.015347,2336000000.0
1017.0,2.973635,2402000000.0
1038.0,2.988671,2451000000.0
1042.0,2.994179,2461000000.0
1120.0,3.0429,2645000000.0
1129.0,2.979226,2666000000.0
1145.0,2.91189,2704000000.0
1162.0,2.931535,2744000000.0
1179.0,2.908692,2784000000.0
1274.0,2.896579,3008000000.0
1303.0,2.869784,3077000000.0
1310.0,2.866226,3093000000.0
1311.0,2.878171,3095000000.0
1322.0,2.866385,3121000000.0
1364.0,2.838953,3220000000.0
1393.0,2.82473,3289000000.0
1404.0,2.84037,3315000000.0
1412.0,2.844704,3334000000.0
1489.0,2.818535,3515000000.0
1507.0,2.815189,3558000000.0
1528.0,2.799624,3607000000.0
1536.0,2.791958,3626000000.0
1553.0,2.811777,3666000000.0
1567.0,2.784763,3699000000.0
1581.0,2.759915,3732000000.0
1593.0,2.746583,3761000000.0
1627.0,2.738909,3841000000.0
1669.0,2.755381,3940000000.0
1715.0,2.723223,4049000000.0000005
1742.0,2.733563,4112000000.0
1758.0,2.719267,4150000000.0000005
1804.0,2.703794,4259000000.0000005
1822.0,2.714436,4301000000.0
1824.0,2.705421,4306000000.0
1842.0,2.703531,4348000000.0
1845.0,2.721132,4355000000.0
1870.0,2.688935,4414000000.0
1872.0,2.698863,4419000000.0
1878.0,2.67748,4433000000.0
1911.0,2.660201,4511000000.0
