step,ce,tokens
52.0,6.48936,101000000.0
73.0,5.965762,141000000.0
87.0,5.717676,167000000.0
100.0,5.567959,192000000.0
128.0,5.185321,245000000.0
143.0,5.073586,274000000.0
194.0,4.760334,371000000.0
195.0,4.773723,373000000.0
197.0,4.777731,376000000.0
202.0,4.732419,386000000.0
222.0,4.589694,424000000.0
325.0,4.219732,620000000.0
346.0,5.53864,659000000.0
356.0,4.995254,678000000.0
365.0,4.573822,696000000.0
383.0,4.45475,730000000.0
388.0,4.285657,739000000.0
412.0,4.078587,785000000.0
440.0,3.889732,838000000.0
448.0,3.851135,853000000.0
486.0,3.730211,926000000.0
498.0,3.712497,948000000.0
511.0,3.64573,973000000.0
585.0,3.475175,1114000000.0
640.0,3.424362,1218000000.0
648.0,3.380692,1233000000.0
665.0,3.43645,1266000000.0
686.0,3.416509,1306000000.0
697.0,3.401513,1327000000.0
700.0,3.361138,1332000000.0
737.0,3.318288,1403000000.0
773.0,3.318401,1471000000.0
825.0,3.253701,1570000000.0
999.0,3.146699,1901000000.0
1027.0,3.137837,1954000000.0
1048.0,3.119573,1994000000.0
1052.0,3.127933,2001000000.0
1130.0,3.127177,2150000000.0
1139.0,3.114805,2167000000.0
1155.0,3.151011,2197000000.0
1172.0,3.082227,2229000000.0
1189.0,3.085255,2262000000.0
1284.0,3.044303,2442000000.0
1313.0,3.06219,2497000000.0
1320.0,3.078924,2511000000.0
1321.0,3.096784,2513000000.0
1332.0,3.03652,2533000000.0
1364.0,3.057439,2594000000.0
1374.0,3.033451,2613000000.0
1403.0,3.016032,2668000000.0
1414.0,3.054545,2689000000.0
1422.0,3.417495,2704000000.0
1499.0,3.021139,2851000000.0
1517.0,2.989391,2885000000.0
1538.0,3.014366,2925000000.0
1546.0,3.004397,2940000000.0
1563.0,2.972353,2972000000.0
1577.0,3.012756,2999000000.0
1591.0,2.980753,3026000000.0
1603.0,2.959479,3048000000.0
1637.0,2.98346,3113000000.0
1679.0,2.948553,3193000000.0
1725.0,2.970373,3280000000.0
1752.0,2.917918,3332000000.0
1768.0,2.931388,3362000000.0
1814.0,2.923332,3449000000.0
1832.0,2.915517,3484000000.0
1834.0,2.91444,3487000000.0
1852.0,2.9224,3522000000.0
1855.0,2.905281,3527000000.0
1880.0,2.876371,3575000000.0
1882.0,2.904947,3579000000.0
1888.0,2.92009,3590000000.0
1919.0,2.910353,3649000000.0
1921.0,2.916697,3653000000.0
1996.0,2.899077,3795000000.0
2142.0,3.013109,4073000000.0000005
2218.0,2.869472,4216999999.9999995
2252.0,2.875938,4282000000.0
2312.0,2.842741,4396000000.0
2327.0,2.840481,4424000000.0
2409.0,2.832908,4580000000.0
2425.0,2.88334,4611000000.0
2430.0,2.884198,4620000000.0
2452.0,2.855852,4662000000.0
2474.0,2.874975,4704000000.0
2506.0,2.844633,4765000000.0
2511.0,2.884177,4774000000.0
2572.0,2.811561,4890000000.0
2630.0,2.850951,5000000000.0
2658.0,2.833097,5054000000.0
2667.0,2.853995,5071000000.0
2673.0,2.844438,5082000000.0
2722.0,2.94911,5175000000.0
2769.0,2.853272,5265000000.0
2791.0,2.856132,5306000000.0
2885.0,2.83725,5485000000.0
2896.0,2.822985,5506000000.0
2915.0,2.799452,5542000000.0
2923.0,2.83953,5557000000.0
2926.0,2.825718,5563000000.0
2991.0,2.839607,5686000000.0
2993.0,2.824135,5690000000.0
3044.0,2.825496,5787000000.0
3070.0,2.811058,5837000000.0
3104.0,2.798074,5901000000.0
3118.0,2.821185,5928000000.0
3125.0,2.808078,5941000000.0
3148.0,2.820354,5985000000.0
3160.0,2.813264,6008000000.0
3163.0,2.839942,6013000000.0
3205.0,2.864557,6093000000.0
3254.0,2.812551,6186000000.0
3258.0,2.830347,6194000000.0
3266.0,2.8065,6209000000.0
3275.0,2.824508,6226000000.0
3370.0,2.804557,6407000000.0
3395.0,2.801517,6454000000.0
3424.0,2.823242,6509000000.0
3445.0,2.781446,6549000000.0
3450.0,2.801678,6559000000.0
3537.0,2.809797,6724000000.0
3544.0,2.78508,6737000000.0
3567.0,2.800627,6781000000.0
3580.0,2.797463,6806000000.0
3662.0,2.778702,6962000000.0
3671.0,2.788384,6979000000.0
3728.0,2.797886,7087000000.0
3729.0,2.844997,7089000000.0
3775.0,2.812528,7176000000.0
3835.0,2.790953,7290000000.0
3867.0,2.786171,7351000000.0
3913.0,2.801789,7439000000.0
3923.0,2.827657,7458000000.0
3930.0,2.7999,7471000000.0
3933.0,2.785649,7477000000.0
3949.0,2.775401,7507000000.0
3975.0,2.795726,7557000000.0
4018.0,2.818164,7638000000.0
4028.0,2.816365,7657000000.0
4068.0,2.816646,7733000000.0
4106.0,2.776823,7806000000.0
4154.0,2.787015,7897000000.0
4193.0,2.791936,7971000000.0
4214.0,2.813578,8010999999.999999
4229.0,2.789428,8039000000.0
4249.0,2.767928,8077000000.0
4265.0,2.767058,8108000000.000001
4274.0,2.764793,8125000000.0
4299.0,2.801522,8172000000.000001
4389.0,2.809001,8343000000.0
4390.0,2.791904,8345000000.000001
4431.0,2.778854,8423000000.0
4499.0,2.739879,8552000000.0
4517.0,2.781387,8587000000.0
4539.0,2.786554,8628000000.0
4554.0,2.794372,8657000000.0
4574.0,2.790165,8695000000.0
4659.0,2.795023,8857000000.0
4689.0,2.766106,8914000000.0
4700.0,2.769778,8934000000.0
4703.0,2.754422,8940000000.0
4711.0,2.765336,8955000000.0
4713.0,2.752322,8959000000.0
4729.0,2.777849,8990000000.0
4746.0,2.766636,9022000000.0
4748.0,2.789419,9026000000.0
4757.0,2.783545,9043000000.0
4804.0,2.776359,9132000000.0
4852.0,2.789993,9223000000.0
4870.0,2.769134,9258000000.0
4953.0,2.752174,9415000000.0
4958.0,2.76583,9425000000.0
4961.0,2.771758,9430000000.0
4970.0,2.771154,9448000000.0
4971.0,2.788887,9450000000.0
4987.0,2.774143,9480000000.0
5035.0,2.7547,9571000000.0
5069.0,2.78843,9636000000.0
5090.0,2.770377,9676000000.0
5096.0,2.759938,9687000000.0
5129.0,2.769954,9750000000.0
5141.0,2.760494,9773000000.0
5157.0,2.729736,9803000000.0
5212.0,2.772196,9908000000.0
5217.0,2.768968,9917000000.0
5289.0,2.742069,10054000000.0
5310.0,2.750682,10094000000.0
5316.0,2.773256,10105000000.0
5327.0,2.77614,10126000000.0
5360.0,2.769042,10189000000.0
5389.0,2.775472,10244000000.0
5413.0,2.743713,10290000000.0
5432.0,2.749817,10326000000.0
5440.0,2.711598,10341000000.0
5459.0,2.735136,10377000000.0
5464.0,2.751708,10386000000.0
5473.0,2.764952,10404000000.0
5474.0,2.73889,10405000000.0
5516.0,2.745121,10485000000.0
5539.0,2.745786,10529000000.0
5584.0,2.788583,10615000000.0
5594.0,2.763936,10634000000.0
5608.0,2.729446,10660000000.0
5634.0,2.758141,10710000000.0
5647.0,2.74595,10734000000.0
5690.0,2.766984,10816000000.0
5741.0,2.744791,10913000000.0
5810.0,2.758422,11044000000.0
5824.0,2.761887,11071000000.0
5826.0,2.765555,11074000000.0
5846.0,2.735639,11112000000.0
5883.0,2.774578,11183000000.0
5899.0,2.762739,11213000000.0
5910.0,2.764956,11234000000.0
5911.0,2.746184,11236000000.0
5925.0,2.768264,11263000000.0
5930.0,2.738256,11272000000.0
5954.0,2.758255,11318000000.0
6025.0,2.777879,11453000000.0
6031.0,2.781267,11464000000.0
6082.0,2.753681,11561000000.0
6092.0,2.75729,11580000000.0
6113.0,2.785175,11620000000.0
6120.0,2.781476,11633000000.0
6154.0,2.729229,11698000000.0
6262.0,2.761709,11903000000.0
6263.0,2.756811,11905000000.0
6273.0,2.7551,11924000000.0
6307.0,2.753158,11989000000.0
6308.0,2.714705,11991000000.0
6392.0,2.737995,12150000000.0
6409.0,2.754807,12182000000.0
6413.0,2.710203,12190000000.0
6435.0,2.719954,12232000000.0
6451.0,2.733014,12262000000.0
6471.0,2.732371,12300000000.0
6500.0,2.748237,12355000000.0
6506.0,2.784605,12367000000.0
6523.0,2.782813,12399000000.0
6567.0,2.743378,12483000000.0
6607.0,2.744964,12559000000.0
6658.0,2.751323,12656000000.0
6721.0,2.848856,12775000000.0
6730.0,2.773032,12793000000.0
6772.0,2.750769,12872000000.0
6783.0,2.717953,12893000000.0
6820.0,2.758726,12964000000.0
6837.0,2.746868,12996000000.0
6868.0,2.77668,13055000000.0
6875.0,2.716171,13068000000.0
6880.0,2.745269,13078000000.0
6951.0,2.749405,13213000000.0
6962.0,2.727168,13233000000.0
7015.0,2.740529,13334000000.0
7025.0,2.734713,13353000000.0
7043.0,2.739862,13387000000.0
7070.0,2.751426,13439000000.0
7105.0,2.75363,13505000000.0
7191.0,2.752242,13669000000.0
7209.0,2.775949,13703000000.0
7256.0,2.737875,13792000000.0
7323.0,2.742431,13920000000.0
7374.0,2.757008,14017000000.0
7394.0,2.775207,14055000000.0
7413.0,2.731033,14091000000.0
7451.0,2.708088,14163000000.0
7459.0,2.764208,14178000000.0
7470.0,2.760316,14199000000.0
7487.0,2.747874,14231000000.0
7501.0,2.728598,14258000000.0
7565.0,2.735638,14380000000.0
7606.0,2.719944,14457000000.0
7634.0,2.711758,14511000000.0
7657.0,2.960008,14554000000.0
7660.0,2.906866,14560000000.0
7672.0,2.825454,14583000000.0
7697.0,2.74752,14630000000.0
7766.0,2.741257,14762000000.0
7779.0,2.751562,14786000000.0
7784.0,2.78012,14796000000.0
7855.0,2.750948,14931000000.0
7891.0,2.733254,14999000000.0
7909.0,2.75671,15033000000.0
7920.0,2.712922,15054000000.0
7922.0,2.722904,15058000000.0
7923.0,2.725086,15060000000.0
7951.0,2.861248,15113000000.0
7979.0,2.728693,15166000000.0
8108.0,2.736095,15412000000.0
8154.0,2.741278,15499000000.0
8189.0,2.743838,15565000000.0
8190.0,2.72825,15567000000.0
8228.0,2.760392,15640000000.0
8282.0,2.721174,15742000000.0
8284.0,2.731203,15746000000.0
8304.0,2.725847,15784000000.0
8323.0,2.74359,15820000000.0
8394.0,2.752034,15955000000.0
8398.0,2.707946,15963000000.0
8405.0,2.718016,15976000000.0
8439.0,2.713304,16041000000.0
8454.0,2.714536,16069000000.0
8477.0,2.851258,16113000000.0
8493.0,2.743029,16143000000.0
8541.0,2.7295,16234000000.000002
8569.0,2.746987,16288000000.0
8575.0,2.729702,16299000000.0
8578.0,2.737167,16305000000.0
8639.0,2.74542,16421000000.0
8666.0,2.732126,16472000000.000002
8669.0,2.719325,16478000000.000002
8701.0,2.724734,16539000000.000002
8710.0,2.739685,16556000000.0
8719.0,2.7463,16573000000.0
8772.0,2.702658,16672999999.999998
8782.0,2.719513,16692000000.0
8791.0,2.726311,16710000000.0
8830.0,2.749095,16783999999.999998
8853.0,2.724109,16827000000.000002
8903.0,2.748767,16922000000.0
8910.0,2.710106,16936000000.0
8915.0,2.705102,16945000000.0
8923.0,2.720543,16960000000.0
8934.0,2.742749,16981000000.000002
8936.0,2.730869,16985000000.0
8944.0,2.728981,17000000000.0
8965.0,2.754169,17040000000.0
8976.0,2.72716,17061000000.0
9007.0,2.719485,17120000000.000002
9018.0,2.736229,17140999999.999998
9026.0,2.727053,17155999999.999998
9040.0,2.717099,17183000000.0
9043.0,2.721748,17189000000.0
9071.0,2.726642,17242000000.0
9115.0,2.748158,17325000000.0
9129.0,2.733535,17352000000.0
9168.0,2.723645,17426000000.0
9190.0,3.013793,17468000000.0
9191.0,3.000913,17470000000.0
9198.0,2.840601,17483000000.0
9216.0,2.752817,17517000000.0
9229.0,2.760797,17542000000.0
9239.0,2.73701,17561000000.0
9289.0,2.725628,17656000000.0
9313.0,2.726439,17702000000.0
9328.0,2.730887,17730000000.0
9329.0,2.724168,17732000000.0
9338.0,2.730971,17749000000.0
9386.0,2.704746,17840000000.0
9500.0,2.731393,18057000000.0
9501.0,2.726688,18059000000.0
9511.0,2.834134,18078000000.0
9549.0,2.711079,18150000000.0
9604.0,2.707725,18255000000.0
9628.0,2.732335,18300000000.0
9647.0,2.724963,18336000000.0
9657.0,2.711958,18355000000.0
9672.0,2.720184,18384000000.0
9785.0,2.722151,18599000000.0
9791.0,2.73344,18610000000.0
9809.0,2.713845,18644000000.0
9826.0,2.738388,18677000000.0
9843.0,2.721559,18709000000.0
9942.0,2.693552,18897000000.0
9955.0,2.730958,18922000000.0
9970.0,2.742966,18950000000.0
9987.0,2.717692,18983000000.0
9991.0,2.716906,18990000000.0
10014.0,2.720035,19034000000.0
10026.0,2.713307,19057000000.0
10050.0,2.724149,19102000000.0
10051.0,2.72333,19104000000.0
10062.0,2.726426,19125000000.0
10085.0,2.726974,19169000000.0
10097.0,2.714308,19192000000.0
10131.0,2.698028,19256000000.0
10162.0,2.722392,19315000000.0
10173.0,2.710668,19336000000.0
10184.0,2.726325,19357000000.0
10255.0,2.712109,19492000000.0
10258.0,2.740305,19498000000.0
10297.0,2.821218,19572000000.0
10322.0,2.747575,19619000000.0
10346.0,2.711473,19665000000.0
10353.0,2.7284,19678000000.0
10383.0,2.72253,19735000000.0
10404.0,2.733131,19775000000.0
10420.0,2.740497,19806000000.0
10494.0,2.754118,19946000000.0
10553.0,2.726467,20058000000.0
10554.0,2.72045,20060000000.0
10596.0,2.77352,20140000000.0
10691.0,2.725741,20321000000.0
10742.0,2.719845,20418000000.0
10748.0,2.724824,20429000000.0
10775.0,2.76554,20480000000.0
10802.0,2.704073,20532000000.0
10806.0,2.688404,20539000000.0
10818.0,2.716642,20562000000.0
10820.0,2.703172,20566000000.0
10826.0,2.696364,20577000000.0
10852.0,2.731273,20627000000.0
10953.0,2.732846,20819000000.0
10997.0,2.735535,20902000000.0
11006.0,2.683892,20919000000.0
11025.0,2.759277,20955000000.0
11129.0,2.710508,21153000000.0
11141.0,2.717032,21176000000.0
11158.0,2.711978,21208000000.0
11179.0,2.728369,21248000000.0
11296.0,2.779573,21470000000.0
11299.0,2.742148,21476000000.0
11306.0,2.716366,21489000000.0
11359.0,2.725115,21590000000.0
11377.0,2.712013,21624000000.0
11378.0,2.722447,21626000000.0
11382.0,2.711377,21634000000.0
11401.0,2.72792,21670000000.0
11425.0,2.704187,21716000000.0
11448.0,2.725632,21759000000.0
11459.0,2.72324,21780000000.0
11465.0,2.722664,21792000000.0
11466.0,2.704306,21794000000.0
11496.0,2.730198,21851000000.0
11556.0,2.722538,21965000000.0
11598.0,2.716287,22044000000.0
11608.0,2.718606,22063000000.0
11657.0,2.707511,22157000000.0
11667.0,2.72359,22176000000.0
11669.0,2.723746,22179000000.0
11678.0,2.703909,22196000000.0
11687.0,2.725772,22214000000.0
11695.0,2.722935,22229000000.0
11753.0,2.732506,22339000000.0
11765.0,2.729666,22362000000.0
11800.0,2.722156,22428000000.0
11857.0,2.933446,22537000000.0
11925.0,2.698932,22666000000.0
11949.0,2.712043,22712000000.0
11965.0,2.705561,22742000000.0
12004.0,2.697058,22816000000.0
12009.0,2.720542,22826000000.0
12011.0,2.694307,22829000000.0
12013.0,2.715695,22833000000.0
12018.0,2.690332,22843000000.0
12024.0,2.716937,22854000000.0
12040.0,2.735786,22884000000.0
12044.0,2.709165,22892000000.0
12050.0,2.754641,22903000000.0
12071.0,2.712215,22943000000.0
12106.0,2.726409,23010000000.0
12165.0,2.751075,23122000000.0
12198.0,2.806664,23185000000.0
12256.0,2.700227,23295000000.0
12258.0,2.718992,23299000000.0
12269.0,2.721398,23320000000.0
12322.0,2.73762,23420000000.0
12340.0,2.770061,23455000000.0
12349.0,2.747313,23472000000.0
12351.0,2.751634,23476000000.0
12365.0,2.7332,23502000000.0
12389.0,2.729685,23548000000.0
12391.0,2.730248,23552000000.0
12400.0,2.74515,23569000000.0
12429.0,2.738242,23624000000.0
12430.0,2.732082,23626000000.0
12434.0,2.723333,23633000000.0
12435.0,2.746642,23635000000.0
12483.0,2.716209,23726000000.0
12521.0,2.713164,23799000000.0
12566.0,2.710648,23884000000.0
12569.0,2.71412,23890000000.0
12585.0,2.68756,23920000000.0
12628.0,2.754371,24002000000.0
12630.0,2.743369,24006000000.0
12645.0,2.786633,24034000000.0
12681.0,2.69003,24103000000.0
12697.0,2.707952,24133000000.0
12699.0,2.710028,24137000000.0
12716.0,2.702515,24169000000.0
12735.0,2.702179,24205000000.0
12754.0,2.712784,24241000000.0
12775.0,2.779057,24281000000.0
12794.0,2.722715,24317000000.0
12799.0,2.691808,24327000000.0
12831.0,2.723039,24388000000.0
12848.0,2.731221,24420000000.0
12866.0,2.724002,24454000000.0
12872.0,2.706236,24466000000.0
12923.0,2.718768,24563000000.0
12956.0,2.705633,24625000000.0
12961.0,2.705413,24635000000.0
12984.0,2.745388,24679000000.0
13005.0,2.742871,24718000000.0
13013.0,2.694558,24734000000.0
13094.0,2.730415,24888000000.0
13100.0,2.731376,24899000000.0
13157.0,2.70838,25007000000.0
13161.0,2.70154,25015000000.0
13202.0,2.703201,25093000000.0
13215.0,2.730182,25118000000.0
13258.0,2.710485,25199000000.0
