step,ce,tokens
42.0,6.986068,101000000.0
63.0,6.24459,151000000.0
77.0,5.946168,184000000.0
90.0,5.728459,215000000.0
118.0,5.317519,281000000.0
133.0,5.144436,316000000.0
184.0,4.698525,436000000.0
212.0,4.455075,503000000.0
315.0,4.023191,746000000.0
336.0,3.872232,795000000.0
346.0,4.520839,819000000.0
355.0,4.356331,840000000.0
378.0,3.942508,894000000.0
402.0,3.693297,951000000.0
430.0,3.572773,1016999999.9999999
438.0,3.566793,1036000000.0
476.0,4.152661,1125000000.0
488.0,4.088378,1154000000.0
575.0,3.50901,1359000000.0
630.0,3.462147,1489000000.0
638.0,3.412491,1508000000.0
655.0,3.382182,1548000000.0
676.0,3.31789,1597000000.0
687.0,3.363317,1623000000.0
727.0,3.326635,1718000000.0
815.0,3.206202,1925000000.0
989.0,3.093799,2336000000.0
1017.0,3.018608,2402000000.0
1038.0,3.054769,2451000000.0
1042.0,3.056648,2461000000.0
1120.0,3.005663,2645000000.0
1129.0,2.998254,2666000000.0
1145.0,2.989031,2704000000.0
1162.0,2.979152,2744000000.0
1179.0,2.989871,2784000000.0
1274.0,2.9433,3008000000.0
1303.0,2.913856,3077000000.0
1310.0,2.92736,3093000000.0
1311.0,2.937552,3095000000.0
1322.0,2.930259,3121000000.0
1364.0,2.887022,3220000000.0
1393.0,2.885873,3289000000.0
1404.0,2.948641,3315000000.0
1412.0,3.056272,3334000000.0
1489.0,2.890402,3515000000.0
1507.0,2.87252,3558000000.0
1528.0,2.869916,3607000000.0
1536.0,2.862601,3626000000.0
1553.0,2.867318,3666000000.0
1567.0,2.854095,3699000000.0
1581.0,2.834428,3732000000.0
1593.0,2.814317,3761000000.0
1627.0,2.828343,3841000000.0
1669.0,2.834496,3940000000.0
1715.0,2.796612,4049000000.0000005
1742.0,2.805987,4112000000.0
1758.0,2.799035,4150000000.0000005
1804.0,2.77321,4259000000.0000005
1822.0,2.7869,4301000000.0
1824.0,2.777286,4306000000.0
1842.0,2.77126,4348000000.0
1845.0,2.796874,4355000000.0
1870.0,2.75012,4414000000.0
1872.0,2.770525,4419000000.0
1878.0,2.752359,4433000000.0
1911.0,2.739871,4511000000.0
1986.0,2.723045,4688000000.0
2132.0,2.705533,5032000000.0
2208.0,2.717676,5212000000.0
2242.0,2.732171,5292000000.0
2302.0,2.681933,5433000000.0
2317.0,2.70013,5469000000.0
2399.0,2.684204,5662000000.0
2415.0,2.684292,5700000000.0
2420.0,2.693877,5712000000.0
2442.0,2.663846,5764000000.0
2496.0,2.676375,5891000000.0
2501.0,2.673509,5903000000.0
2562.0,2.68463,6047000000.0
