step,ce,tokens
42.0,7.027943,101000000.0
63.0,6.254558,151000000.0
77.0,5.928808,184000000.0
90.0,5.703745,215000000.0
118.0,5.29602,281000000.0
133.0,5.141057,316000000.0
184.0,4.626408,436000000.0
212.0,4.710246,503000000.0
315.0,4.115942,746000000.0
336.0,4.07864,795000000.0
346.0,4.166623,819000000.0
355.0,4.236525,840000000.0
378.0,3.977728,894000000.0
402.0,3.760161,951000000.0
430.0,3.615484,1016999999.9999999
438.0,3.62494,1036000000.0
476.0,3.485505,1125000000.0
488.0,3.461435,1154000000.0
575.0,3.506555,1359000000.0
630.0,3.490218,1489000000.0
638.0,3.381094,1508000000.0
655.0,3.332263,1548000000.0
676.0,3.214343,1597000000.0
687.0,3.289504,1623000000.0
727.0,3.670914,1718000000.0
815.0,3.169028,1925000000.0
989.0,3.050746,2336000000.0
1017.0,2.999308,2402000000.0
1038.0,3.024114,2451000000.0
1042.0,3.033514,2461000000.0
1120.0,2.982429,2645000000.0
1129.0,2.960241,2666000000.0
1145.0,2.951855,2704000000.0
1162.0,2.944218,2744000000.0
1179.0,2.942379,2784000000.0
1274.0,2.899808,3008000000.0
1303.0,2.90568,3077000000.0
1310.0,2.907537,3093000000.0
1311.0,2.90947,3095000000.0
1322.0,2.884156,3121000000.0
1364.0,2.855552,3220000000.0
1393.0,2.840034,3289000000.0
1404.0,2.843089,3315000000.0
1412.0,2.883984,3334000000.0
1489.0,2.835416,3515000000.0
1507.0,2.829215,3558000000.0
1528.0,2.830549,3607000000.0
1536.0,2.814015,3626000000.0
1553.0,2.823225,3666000000.0
1567.0,2.809485,3699000000.0
1581.0,2.782582,3732000000.0
1593.0,2.775083,3761000000.0
1627.0,2.774995,3841000000.0
1669.0,2.779708,3940000000.0
1715.0,2.759505,4049000000.0000005
1742.0,2.760421,4112000000.0
1758.0,2.751211,4150000000.0000005
1804.0,2.727826,4259000000.0000005
1822.0,2.744332,4301000000.0
1824.0,2.743214,4306000000.0
1842.0,2.729486,4348000000.0
1845.0,2.751543,4355000000.0
1870.0,2.722149,4414000000.0
1872.0,2.744001,4419000000.0
1878.0,2.721682,4433000000.0
1911.0,2.926414,4511000000.0
1986.0,2.687013,4688000000.0
2132.0,2.67522,5032000000.0
2208.0,2.660411,5212000000.0
2242.0,2.693455,5292000000.0
2302.0,2.63875,5433000000.0
2317.0,2.647948,5469000000.0
2399.0,2.644794,5662000000.0
2415.0,2.644544,5700000000.0
2420.0,2.653797,5712000000.0
2442.0,2.619401,5764000000.0
2496.0,2.636128,5891000000.0
2501.0,2.641797,5903000000.0
2562.0,2.650788,6047000000.0
2620.0,2.616986,6184000000.0
2648.0,2.619784,6250000000.0
2663.0,2.613582,6285000000.0
2712.0,2.63587,6401000000.0
2759.0,2.632386,6512000000.0
2781.0,2.597492,6564000000.0
2875.0,2.593459,6785000000.0
2905.0,2.6028,6856000000.0
2913.0,2.578616,6875000000.0
2916.0,2.591703,6882000000.0
2981.0,2.576783,7035000000.0
2983.0,2.593206,7040000000.0
3034.0,2.586457,7160000000.0
3060.0,2.571135,7222000000.0
3094.0,2.568593,7302000000.0
3108.0,2.594259,7335000000.0
3115.0,2.586191,7352000000.0
3138.0,2.571417,7406000000.0
3150.0,2.570637,7434000000.0
3195.0,2.584107,7540000000.0
3244.0,2.559028,7656000000.0
3248.0,2.558895,7665000000.0
3360.0,2.56608,7930000000.0
