step,ce,tokens
40.0,7.303679,102000000.0
75.0,6.027017,189000000.0
116.0,5.36912,291000000.0
131.0,5.198842,329000000.0
182.0,4.731153,456000000.0
334.0,3.942935,834000000.0
344.0,3.899225,859000000.0
353.0,3.942646,882000000.0
376.0,4.398774,939000000.0
400.0,3.903491,999000000.0
428.0,3.663098,1068000000.0000001
436.0,3.644567,1088000000.0
474.0,3.521644,1183000000.0
573.0,3.434773,1429000000.0
628.0,3.664228,1566000000.0
636.0,4.074132,1586000000.0
653.0,3.784621,1629000000.0
685.0,3.347115,1708000000.0
725.0,3.286774,1808000000.0
813.0,3.185045,2027000000.0000002
987.0,3.026289,2460000000.0
1015.0,3.074091,2530000000.0
1036.0,3.127856,2583000000.0
1040.0,3.110299,2592000000.0
1118.0,2.964291,2787000000.0
1127.0,2.947623,2809000000.0
1143.0,2.926529,2849000000.0
1160.0,2.926814,2891000000.0
1177.0,2.962683,2934000000.0
1272.0,2.90161,3170000000.0
1301.0,2.921396,3242000000.0
1308.0,2.892692,3260000000.0
1309.0,2.874054,3262000000.0
1320.0,2.871237,3290000000.0
1362.0,2.860615,3394000000.0
1391.0,2.858924,3467000000.0
1410.0,2.832193,3514000000.0
1487.0,2.836331,3706000000.0
1505.0,2.805333,3750000000.0
1526.0,2.846674,3803000000.0
1534.0,2.788784,3823000000.0
1551.0,2.797345,3865000000.0
1579.0,2.79411,3935000000.0
1591.0,2.782249,3965000000.0
1625.0,2.779937,4049000000.0000005
1667.0,2.771968,4154000000.0
1713.0,2.766822,4268000000.0
1740.0,2.748206,4336000000.0
1756.0,2.758024,4376000000.0
1802.0,2.711763,4490000000.0
1822.0,2.759496,4540000000.0
1843.0,2.727561,4592000000.0
1868.0,2.718593,4654000000.0
1870.0,2.700962,4659000000.0
1876.0,2.71381,4674000000.0
1909.0,2.716296,4757000000.0
1984.0,2.734679,4943000000.0
2130.0,2.670917,5307000000.0
2206.0,2.637279,5496000000.0
2300.0,2.626648,5730000000.0
2397.0,2.622839,5972000000.0
2413.0,2.629293,6012000000.0
2418.0,2.636281,6024000000.0
2440.0,2.616358,6079000000.0
2494.0,2.603178,6213000000.0
2499.0,2.629361,6226000000.0
2560.0,2.571866,6378000000.0
2618.0,2.593502,6522000000.0
2646.0,2.575644,6592000000.0
2661.0,2.593809,6629000000.0
2710.0,2.587079,6751000000.0
2779.0,2.574852,6923000000.0
2873.0,2.55789,7157000000.0
2903.0,2.572233,7232000000.0
2911.0,2.538432,7252000000.0
2914.0,2.555307,7259000000.0
2979.0,2.579889,7421000000.0
2981.0,2.560401,7426000000.0
3032.0,2.585482,7553000000.0
3058.0,2.554109,7618000000.0
3092.0,2.559992,7703000000.0
3106.0,2.543662,7738000000.0
3113.0,2.549142,7755000000.0
3136.0,2.523014,7812000000.0
3148.0,2.528728,7842000000.0
3193.0,2.520318,7954000000.0
3242.0,2.527985,8076000000.000001
3246.0,2.529739,8086000000.0
3358.0,2.54415,8365000000.0
3383.0,2.512023,8427000000.0
3412.0,2.520994,8500000000.0
3433.0,2.513071,8552000000.0
3438.0,2.527232,8564000000.0
3525.0,2.511033,8781000000.0
3555.0,2.534504,8856000000.0
3568.0,2.512681,8888000000.0
3650.0,2.524394,9092000000.0
3716.0,2.504161,9257000000.0
3763.0,2.539031,9374000000.0
3823.0,2.516071,9523000000.0
3901.0,2.478336,9717000000.0
3911.0,2.497592,9742000000.0
3918.0,2.506755,9760000000.0
3937.0,2.489134,9807000000.0
3963.0,2.516188,9872000000.0
4006.0,2.508754,9979000000.0
4016.0,2.495586,10004000000.0
4094.0,2.51302,10198000000.0
4181.0,2.50299,10415000000.0
4202.0,2.492584,10467000000.0
4217.0,2.488313,10504000000.0
4253.0,2.484474,10594000000.0
4287.0,2.504703,10679000000.0
4377.0,2.478147,10903000000.0
4378.0,2.48294,10905000000.0
4419.0,2.473932,11007000000.0
4487.0,2.47571,11177000000.0
4505.0,2.457586,11222000000.0
4542.0,2.488404,11314000000.0
4647.0,2.477195,11575000000.0
4677.0,2.454687,11650000000.0
4688.0,2.485882,11677000000.0
4701.0,2.512752,11710000000.0
4717.0,2.45953,11750000000.0
4734.0,2.478332,11792000000.0
4736.0,2.480428,11797000000.0
4840.0,2.476856,12056000000.0
