step,ce,tokens
40.0,7.262527,102000000.0
75.0,6.007745,189000000.0
116.0,5.365547,291000000.0
131.0,5.214655,329000000.0
182.0,4.742487,456000000.0
334.0,4.008638,834000000.0
344.0,4.004722,859000000.0
353.0,3.922586,882000000.0
376.0,3.875232,939000000.0
400.0,4.286591,999000000.0
428.0,3.754706,1068000000.0000001
436.0,3.695317,1088000000.0
474.0,3.557916,1183000000.0
573.0,3.43688,1429000000.0
628.0,3.465219,1566000000.0
636.0,3.846949,1586000000.0
653.0,4.236118,1629000000.0
685.0,3.444138,1708000000.0
725.0,3.337212,1808000000.0
813.0,3.604374,2027000000.0000002
987.0,3.08129,2460000000.0
1015.0,3.071889,2530000000.0
1036.0,3.060198,2583000000.0
1040.0,3.028859,2592000000.0
1118.0,3.001965,2787000000.0
1127.0,3.049009,2809000000.0
1143.0,3.022544,2849000000.0
1160.0,2.977428,2891000000.0
1177.0,2.963406,2934000000.0
1272.0,2.93444,3170000000.0
1301.0,2.956865,3242000000.0
1308.0,2.912724,3260000000.0
1309.0,2.895135,3262000000.0
1320.0,2.900608,3290000000.0
1362.0,2.902041,3394000000.0
1391.0,2.880785,3467000000.0
1410.0,2.864339,3514000000.0
1487.0,2.864218,3706000000.0
1505.0,2.83654,3750000000.0
1526.0,2.875528,3803000000.0
1534.0,2.820556,3823000000.0
1551.0,2.816561,3865000000.0
1579.0,2.825101,3935000000.0
1591.0,2.820703,3965000000.0
1625.0,2.818481,4049000000.0000005
1667.0,2.792922,4154000000.0
1713.0,2.783881,4268000000.0
1740.0,2.781092,4336000000.0
1756.0,2.791064,4376000000.0
1802.0,2.743189,4490000000.0
1822.0,2.784369,4540000000.0
1843.0,2.749491,4592000000.0
1868.0,2.74523,4654000000.0
1870.0,2.733258,4659000000.0
1876.0,2.742246,4674000000.0
1909.0,2.750231,4757000000.0
1984.0,2.740164,4943000000.0
2130.0,2.70849,5307000000.0
2206.0,2.676517,5496000000.0
2300.0,2.668153,5730000000.0
2397.0,2.656684,5972000000.0
2413.0,2.669102,6012000000.0
2418.0,2.678959,6024000000.0
2440.0,2.651899,6079000000.0
2494.0,2.636804,6213000000.0
2499.0,2.665557,6226000000.0
2560.0,2.614831,6378000000.0
2618.0,2.633523,6522000000.0
2646.0,2.614957,6592000000.0
2661.0,2.638466,6629000000.0
2710.0,2.630592,6751000000.0
2779.0,2.613247,6923000000.0
2873.0,2.602659,7157000000.0
2903.0,2.615514,7232000000.0
2911.0,2.58452,7252000000.0
2914.0,2.598559,7259000000.0
2979.0,2.619577,7421000000.0
2981.0,2.604321,7426000000.0
3032.0,2.618335,7553000000.0
3058.0,2.627521,7618000000.0
3092.0,2.602619,7703000000.0
3106.0,2.588793,7738000000.0
3113.0,2.593856,7755000000.0
3136.0,2.565815,7812000000.0
