step,ce,tokens
47.0,6.736217,101000000.0
68.0,6.087601,145000000.0
82.0,5.844917,174000000.0
95.0,5.605862,201000000.0
123.0,5.275805,260000000.0
138.0,5.047681,292000000.0
189.0,4.759427,398000000.0
192.0,4.725616,405000000.0
217.0,4.516563,457000000.0
320.0,4.203153,673000000.0
341.0,3.98372,717000000.0
351.0,3.904876,738000000.0
360.0,3.857101,757000000.0
378.0,3.762689,795000000.0
383.0,3.784723,805000000.0
407.0,4.553922,856000000.0
435.0,3.796198,914000000.0
443.0,3.73117,931000000.0
481.0,3.659793,1010999999.9999999
493.0,3.663621,1036000000.0
506.0,3.591789,1063000000.0
580.0,3.886397,1218000000.0
635.0,3.449882,1334000000.0
643.0,3.49847,1351000000.0
660.0,3.398382,1386000000.0
681.0,3.325607,1430000000.0
692.0,3.313274,1453000000.0
695.0,3.295055,1460000000.0
732.0,3.268852,1537000000.0
768.0,3.197913,1613000000.0
820.0,3.215551,1722000000.0
994.0,3.072255,2087000000.0000002
1022.0,3.059042,2145000000.0
1043.0,3.017187,2189000000.0
1047.0,3.054855,2198000000.0
1125.0,3.01233,2361000000.0
1134.0,3.010933,2380000000.0
1150.0,2.964368,2414000000.0
1167.0,2.97918,2449000000.0
1184.0,2.944047,2485000000.0
1279.0,2.937904,2684000000.0
1308.0,2.911491,2745000000.0
1315.0,2.948022,2760000000.0
1316.0,2.949596,2762000000.0
1327.0,2.938215,2785000000.0
1359.0,3.035792,2852000000.0
1369.0,2.968291,2873000000.0
1398.0,2.907941,2934000000.0
1409.0,2.896662,2957000000.0
1417.0,2.869232,2974000000.0
1494.0,2.920484,3135000000.0
1512.0,2.894049,3173000000.0
1533.0,2.888855,3217000000.0
1541.0,2.888266,3234000000.0
1558.0,2.880365,3269000000.0
1572.0,2.852154,3299000000.0
1586.0,2.868351,3328000000.0
1598.0,2.838612,3353000000.0
1632.0,2.848311,3425000000.0
1674.0,2.831757,3513000000.0
1720.0,2.845634,3609000000.0
1747.0,2.797991,3666000000.0
1763.0,2.803659,3699000000.0
1809.0,2.803712,3796000000.0
1827.0,2.795807,3834000000.0
1829.0,2.788682,3838000000.0
1847.0,2.818375,3876000000.0
1850.0,2.789687,3882000000.0
1875.0,2.795843,3934000000.0
1877.0,2.806855,3938000000.0
1883.0,2.804662,3951000000.0
1916.0,2.77234,4019999999.9999995
1991.0,2.76903,4178000000.0
2137.0,2.741811,4484000000.0
2213.0,2.745814,4643000000.0
2247.0,2.705477,4714000000.0
2307.0,2.720766,4840000000.0
2322.0,2.727602,4872000000.0
2404.0,2.707584,5044000000.0
2420.0,2.724991,5077000000.0
2425.0,2.719352,5088000000.0
2447.0,2.717129,5134000000.0
2469.0,2.707371,5180000000.0
2501.0,2.683362,5247000000.0
2506.0,2.684031,5258000000.0
2567.0,2.711038,5385000000.0
2625.0,2.661833,5507000000.0
2653.0,2.66929,5566000000.0
2668.0,2.652054,5597000000.0
2717.0,2.684335,5700000000.0
2764.0,2.6891,5799000000.0
2786.0,2.655057,5845000000.0
2880.0,2.671914,6042000000.0
2910.0,2.6135,6105000000.0
2918.0,2.655238,6122000000.0
2921.0,2.654708,6128000000.0
2986.0,2.637479,6264000000.0
2988.0,2.662163,6268000000.0
3039.0,2.650685,6375000000.0
3065.0,2.633968,6430000000.0
3099.0,2.669361,6501000000.0
3113.0,2.650814,6531000000.0
3120.0,2.63372,6545000000.0
3143.0,2.616825,6593000000.0
3155.0,2.664403,6619000000.0
3158.0,2.627438,6625000000.0
3200.0,2.646791,6713000000.0
3249.0,2.645514,6816000000.0
3253.0,2.633103,6824000000.0
3261.0,2.639441,6841000000.0
3365.0,2.629129,7059000000.0
3390.0,2.627441,7111000000.0
3419.0,2.618628,7172000000.0
3440.0,2.635193,7216000000.0
3445.0,2.617441,7227000000.0
3532.0,2.621449,7409000000.0
3539.0,2.612543,7424000000.0
3562.0,2.633829,7472000000.0
3575.0,2.624023,7499000000.0
3657.0,2.616131,7671000000.0
3666.0,2.632171,7690000000.0
3723.0,2.617243,7810000000.0
3770.0,2.605865,7908000000.0
3830.0,2.640352,8034000000.000001
3908.0,2.618199,8198000000.0
3918.0,2.585553,8218999999.999999
3925.0,2.59717,8233000000.000001
3928.0,2.605765,8240000000.0
3944.0,2.591378,8273000000.0
3970.0,2.583349,8327999999.999999
4013.0,2.582911,8417999999.999999
4023.0,2.613789,8439000000.0
4101.0,2.708533,8603000000.0
4149.0,2.579338,8703000000.0
4188.0,2.600741,8785000000.0
4209.0,2.591142,8829000000.0
4224.0,2.600494,8860000000.0
4244.0,2.604284,8902000000.0
4260.0,2.61498,8936000000.0
4294.0,2.633267,9007000000.0
4384.0,2.585628,9196000000.0
4385.0,2.588332,9198000000.0
4426.0,2.606614,9284000000.0
4494.0,2.629264,9427000000.0
4512.0,2.600558,9464000000.0
4549.0,2.580895,9542000000.0
4569.0,2.59463,9584000000.0
4654.0,2.595468,9762000000.0
4684.0,2.587334,9825000000.0
4695.0,2.590791,9848000000.0
4708.0,2.57426,9875000000.0
4724.0,2.593419,9909000000.0
4741.0,2.595813,9945000000.0
4743.0,2.584714,9949000000.0
4752.0,2.597564,9968000000.0
4847.0,2.588406,10167000000.0
4865.0,2.586541,10205000000.0
4948.0,2.576956,10379000000.0
4953.0,2.574685,10389000000.0
4956.0,2.609667,10396000000.0
4965.0,2.588869,10414000000.0
4966.0,2.574303,10417000000.0
5030.0,2.580288,10551000000.0
5064.0,2.587569,10622000000.0
5085.0,2.583705,10666000000.0
5091.0,2.610904,10679000000.0
5124.0,2.574066,10748000000.0
5136.0,2.57304,10773000000.0
5152.0,2.554101,10807000000.0
5207.0,2.586397,10922000000.0
5212.0,2.588796,10932000000.0
5284.0,2.553488,11083000000.0
5305.0,2.563978,11127000000.0
5311.0,2.568461,11140000000.0
5322.0,2.600291,11163000000.0
5355.0,2.577628,11232000000.0
5384.0,2.565639,11293000000.0
5408.0,2.563539,11343000000.0
5427.0,2.57148,11383000000.0
5435.0,2.592645,11400000000.0
5454.0,2.59469,11440000000.0
5468.0,2.565514,11469000000.0
5469.0,2.573865,11471000000.0
5511.0,2.597059,11560000000.0
5534.0,2.584467,11608000000.0
5579.0,2.574104,11702000000.0
5589.0,2.579536,11723000000.0
5603.0,2.576981,11752000000.0
5629.0,2.572538,11807000000.0
5642.0,2.574012,11834000000.0
5685.0,2.563981,11924000000.0
5805.0,2.56067,12176000000.0
5819.0,2.558556,12205000000.0
5821.0,2.561208,12210000000.0
5841.0,2.546201,12252000000.0
5878.0,2.541587,12329000000.0
5894.0,2.546512,12363000000.0
5905.0,2.57689,12386000000.0
5906.0,2.570542,12388000000.0
5920.0,2.565242,12417000000.0
5949.0,2.547174,12478000000.0
6026.0,2.568685,12640000000.0
6077.0,2.557293,12746000000.0
6087.0,2.573575,12767000000.0
6108.0,2.552171,12812000000.0
6115.0,2.567429,12826000000.0
6149.0,2.565719,12897000000.0
6257.0,2.56214,13124000000.0
6258.0,2.552951,13126000000.0
6268.0,2.577721,13147000000.0
6302.0,2.585444,13218000000.0
6303.0,2.568357,13220000000.0
6387.0,2.570681,13397000000.0
6404.0,2.573593,13432000000.0
6408.0,2.56154,13441000000.0
6430.0,2.582736,13487000000.0
6446.0,2.573343,13520000000.0
6466.0,2.549536,13562000000.0
6495.0,2.534793,13623000000.0
6501.0,2.559071,13636000000.0
6562.0,2.550852,13764000000.0
6602.0,2.551348,13847000000.0
6653.0,2.554992,13954000000.0
6716.0,2.534022,14087000000.0
6725.0,2.548338,14105000000.0
6767.0,2.551589,14194000000.0
6778.0,2.56158,14217000000.0
6815.0,2.538749,14294000000.0
6832.0,2.58772,14330000000.0
6863.0,2.531365,14395000000.0
6870.0,2.562543,14410000000.0
6875.0,2.550173,14420000000.0
6946.0,2.534397,14569000000.0
6957.0,2.577889,14592000000.0
7010.0,2.550605,14703000000.0
7020.0,2.555835,14724000000.0
7038.0,2.564673,14762000000.0
7065.0,2.564109,14818000000.0
7100.0,2.550015,14892000000.0
7186.0,2.570242,15072000000.0
7204.0,2.549032,15110000000.0
7251.0,2.581332,15209000000.0
7318.0,2.567398,15349000000.0
7369.0,2.542383,15456000000.0
7389.0,2.551387,15498000000.0
7408.0,2.553002,15538000000.0
7446.0,2.562875,15617000000.0
7454.0,2.562508,15634000000.0
7465.0,2.540908,15657000000.0
7482.0,2.53873,15693000000.0
7496.0,2.557287,15722000000.0
7560.0,2.533574,15857000000.0
7601.0,2.550545,15943000000.0
7629.0,2.553543,16001000000.000002
7652.0,2.566571,16050000000.0
7655.0,2.538158,16056000000.0
7667.0,2.552838,16081000000.0
7692.0,2.525014,16133000000.0
7761.0,2.543291,16277999999.999998
7774.0,2.543056,16305000000.0
