step,ce,tokens
47.0,6.72452,101000000.0
68.0,6.102331,145000000.0
82.0,5.851206,174000000.0
95.0,5.633446,201000000.0
123.0,5.300175,260000000.0
138.0,5.151822,292000000.0
189.0,4.812528,398000000.0
192.0,4.815777,405000000.0
217.0,4.57027,457000000.0
320.0,4.244045,673000000.0
341.0,4.121243,717000000.0
351.0,4.049215,738000000.0
360.0,4.040853,757000000.0
378.0,4.04702,795000000.0
383.0,4.066892,805000000.0
407.0,3.932447,856000000.0
435.0,3.846317,914000000.0
443.0,3.818565,931000000.0
481.0,3.919241,1010999999.9999999
493.0,3.723619,1036000000.0
506.0,3.672524,1063000000.0
580.0,3.992727,1218000000.0
635.0,3.546936,1334000000.0
643.0,3.491953,1351000000.0
660.0,3.477752,1386000000.0
681.0,3.424513,1430000000.0
692.0,3.409464,1453000000.0
695.0,3.394298,1460000000.0
732.0,3.385018,1537000000.0
768.0,3.325253,1613000000.0
820.0,3.645244,1722000000.0
994.0,3.178367,2087000000.0000002
1022.0,3.172262,2145000000.0
1043.0,3.159138,2189000000.0
1047.0,3.195395,2198000000.0
1125.0,3.161761,2361000000.0
1134.0,3.132282,2380000000.0
1150.0,3.13375,2414000000.0
1167.0,3.092576,2449000000.0
1184.0,3.110192,2485000000.0
1279.0,3.082213,2684000000.0
1308.0,3.039595,2745000000.0
1315.0,3.055704,2760000000.0
1316.0,3.06535,2762000000.0
1327.0,3.08179,2785000000.0
1359.0,3.05181,2852000000.0
1369.0,3.051233,2873000000.0
1398.0,3.297267,2934000000.0
1409.0,3.121275,2957000000.0
1417.0,3.044868,2974000000.0
1494.0,3.042841,3135000000.0
1512.0,3.011321,3173000000.0
1533.0,3.019212,3217000000.0
1541.0,3.006836,3234000000.0
1558.0,3.015316,3269000000.0
1572.0,2.976486,3299000000.0
1586.0,2.998612,3328000000.0
1598.0,2.966521,3353000000.0
1632.0,2.985378,3425000000.0
1674.0,2.971349,3513000000.0
1720.0,2.972753,3609000000.0
1747.0,2.924444,3666000000.0
1763.0,2.930274,3699000000.0
1809.0,2.928366,3796000000.0
1827.0,2.929452,3834000000.0
1829.0,2.916698,3838000000.0
1847.0,2.937368,3876000000.0
1850.0,2.904624,3882000000.0
1875.0,2.925175,3934000000.0
1877.0,2.934148,3938000000.0
1883.0,2.928836,3951000000.0
1916.0,2.97011,4019999999.9999995
1991.0,2.927421,4178000000.0
2137.0,2.886122,4484000000.0
2213.0,2.895301,4643000000.0
2247.0,2.842652,4714000000.0
2307.0,2.864312,4840000000.0
2322.0,2.866827,4872000000.0
2404.0,2.85006,5044000000.0
2420.0,2.875843,5077000000.0
2425.0,2.866608,5088000000.0
2447.0,2.853945,5134000000.0
2469.0,2.846094,5180000000.0
2501.0,2.824571,5247000000.0
2506.0,2.818036,5258000000.0
2567.0,2.847935,5385000000.0
2625.0,2.79681,5507000000.0
2653.0,2.808753,5566000000.0
2668.0,2.822463,5597000000.0
2717.0,2.816543,5700000000.0
2764.0,2.830433,5799000000.0
2786.0,2.7889,5845000000.0
2880.0,2.803834,6042000000.0
2910.0,2.748163,6105000000.0
2918.0,2.814021,6122000000.0
2921.0,2.817832,6128000000.0
2986.0,2.772063,6264000000.0
2988.0,2.795753,6268000000.0
3039.0,2.78664,6375000000.0
3065.0,2.773482,6430000000.0
3099.0,2.804795,6501000000.0
3113.0,2.79405,6531000000.0
3120.0,2.777478,6545000000.0
3143.0,2.759645,6593000000.0
3155.0,2.806393,6619000000.0
3158.0,2.770968,6625000000.0
3200.0,2.787156,6713000000.0
3249.0,2.78258,6816000000.0
3253.0,2.773919,6824000000.0
3261.0,2.781447,6841000000.0
3365.0,2.768701,7059000000.0
3390.0,2.765359,7111000000.0
3419.0,2.757867,7172000000.0
3440.0,2.774439,7216000000.0
3445.0,2.749323,7227000000.0
3532.0,2.761446,7409000000.0
3539.0,2.752497,7424000000.0
3562.0,2.780942,7472000000.0
3575.0,2.766566,7499000000.0
3657.0,2.752113,7671000000.0
3666.0,2.78079,7690000000.0
3723.0,2.759164,7810000000.0
3770.0,2.74882,7908000000.0
3830.0,2.782078,8034000000.000001
3908.0,2.759656,8198000000.0
3918.0,2.730747,8218999999.999999
3925.0,2.787169,8233000000.000001
3928.0,2.812613,8240000000.0
3944.0,2.762434,8273000000.0
3970.0,2.726122,8327999999.999999
4013.0,2.734738,8417999999.999999
4023.0,2.759038,8439000000.0
4101.0,2.765449,8603000000.0
4149.0,2.726888,8703000000.0
4188.0,2.744176,8785000000.0
4209.0,2.732176,8829000000.0
4224.0,2.736744,8860000000.0
4244.0,2.74152,8902000000.0
4260.0,2.749722,8936000000.0
4294.0,2.745463,9007000000.0
4384.0,2.72759,9196000000.0
4385.0,2.728309,9198000000.0
4426.0,2.750577,9284000000.0
4494.0,2.772452,9427000000.0
4512.0,2.743219,9464000000.0
4549.0,2.724742,9542000000.0
4569.0,2.81672,9584000000.0
4654.0,2.74467,9762000000.0
4684.0,2.73651,9825000000.0
4695.0,2.743,9848000000.0
4708.0,2.726004,9875000000.0
4724.0,2.737448,9909000000.0
4741.0,2.742598,9945000000.0
4743.0,2.728809,9949000000.0
