step,ce,tokens
38.0,7.524651,102000000.0
59.0,6.536903,157000000.0
73.0,6.159996,194000000.0
114.0,5.432491,301000000.0
129.0,5.258105,341000000.0
180.0,4.784333,474000000.0
332.0,4.274498,873000000.0
342.0,4.11073,899000000.0
351.0,4.016023,923000000.0
374.0,3.791609,983000000.0
398.0,3.909169,1046000000.0
426.0,3.811998,1119000000.0
434.0,3.938086,1140000000.0
472.0,3.629099,1240000000.0
484.0,3.543117,1271000000.0
571.0,3.58448,1499000000.0
626.0,3.399934,1644000000.0
634.0,3.333935,1665000000.0
651.0,3.296298,1709000000.0
683.0,3.256026,1793000000.0
723.0,3.843476,1898000000.0
811.0,3.137198,2129000000.0
985.0,3.022888,2585000000.0
1013.0,3.000245,2658000000.0
1034.0,3.00404,2713000000.0
1038.0,3.001616,2724000000.0
1116.0,2.958033,2928000000.0
1125.0,2.92253,2952000000.0
1141.0,2.919923,2994000000.0
1158.0,2.918518,3038000000.0
1175.0,2.91468,3083000000.0
1270.0,2.853332,3332000000.0
1299.0,2.846978,3408000000.0
1306.0,2.850628,3426000000.0
1307.0,2.858736,3429000000.0
1318.0,2.861428,3458000000.0
1360.0,2.856764,3568000000.0
1389.0,2.814716,3644000000.0
1408.0,2.819366,3694000000.0
1485.0,2.788596,3895000000.0
1503.0,2.751375,3943000000.0
1524.0,2.766132,3998000000.0
1532.0,2.765596,4019000000.0
1549.0,2.775137,4062999999.9999995
1563.0,2.754623,4099999999.9999995
1577.0,2.815571,4136999999.9999995
1589.0,2.776903,4168000000.0
1623.0,2.728861,4256999999.9999995
1665.0,2.703935,4367000000.0
1711.0,2.691982,4488000000.0
1738.0,2.714799,4559000000.0
1754.0,2.708609,4601000000.0
1800.0,2.67728,4721000000.0
1818.0,2.667747,4768000000.0
1820.0,2.696861,4774000000.0
1838.0,2.643514,4821000000.0
1841.0,2.67667,4829000000.0
1866.0,2.671482,4894000000.0
1868.0,2.657349,4899000000.0
1874.0,2.651989,4915000000.0
1907.0,2.672355,5002000000.0
1982.0,2.627177,5198000000.0
2128.0,2.584603,5581000000.0
2204.0,2.592178,5780000000.0
2298.0,2.555083,6027000000.0
2313.0,2.542454,6066000000.0
2395.0,2.562952,6281000000.0
2411.0,2.579848,6323000000.0
2416.0,2.532441,6336000000.0
2438.0,2.568971,6394000000.0
2492.0,2.539122,6535000000.0
2497.0,2.540142,6548000000.0
2558.0,2.513777,6708000000.0
2616.0,2.533909,6860000000.0
2644.0,2.526345,6934000000.0
2659.0,2.515475,6973000000.0
2708.0,2.533542,7101000000.0
2777.0,2.492731,7282000000.0
2871.0,2.503719,7529000000.0
2901.0,2.481624,7607000000.0
2909.0,2.46901,7628000000.0
2912.0,2.494769,7636000000.0
2977.0,2.474622,7807000000.0
2979.0,2.472474,7812000000.0
3030.0,2.460137,7946000000.0
3056.0,2.474754,8013999999.999999
3090.0,2.469057,8103000000.0
3104.0,2.454067,8140000000.000001
3111.0,2.474862,8157999999.999999
3134.0,2.459297,8218000000.0
3146.0,2.502521,8250000000.0
3191.0,2.464224,8368000000.0
3240.0,2.456192,8496000000.0
3244.0,2.464007,8507000000.0
3356.0,2.447532,8800000000.0
3381.0,2.480396,8866000000.0
3410.0,2.444287,8942000000.0
3431.0,2.45082,8997000000.0
3436.0,2.426127,9010000000.0
3523.0,2.456893,9238000000.0
3530.0,2.436706,9256000000.0
3553.0,2.418621,9317000000.0
3566.0,2.414956,9351000000.0
3648.0,2.447866,9566000000.0
3714.0,2.442013,9739000000.0
3761.0,2.452665,9862000000.0
3821.0,2.416118,10019000000.0
3899.0,2.442121,10224000000.0
3909.0,2.404691,10250000000.0
3916.0,2.406471,10268000000.0
3935.0,2.433925,10318000000.0
3961.0,2.414693,10386000000.0
4004.0,2.415751,10499000000.0
4014.0,2.414675,10525000000.0
4092.0,2.401226,10730000000.0
4179.0,2.430963,10958000000.0
4200.0,2.49202,11013000000.0
4215.0,2.427741,11052000000.0
4251.0,2.403677,11146000000.0
4285.0,2.39431,11235000000.0
4375.0,2.4012,11471000000.0
4376.0,2.394339,11474000000.0
4417.0,2.418066,11582000000.0
4485.0,2.387694,11760000000.0
4503.0,2.398581,11807000000.0
4540.0,2.396576,11904000000.0
4645.0,2.390454,12179000000.0
4675.0,2.417257,12258000000.0
4686.0,2.402531,12287000000.0
4699.0,2.38959,12321000000.0
4715.0,2.368608,12363000000.0
4732.0,2.384173,12407000000.0
4734.0,2.372919,12413000000.0
4743.0,2.389641,12436000000.0
4838.0,2.396881,12685000000.0
4856.0,2.370022,12732000000.0
4939.0,2.372396,12950000000.0
4944.0,2.375695,12963000000.0
4947.0,2.365479,12971000000.0
4956.0,2.38377,12994000000.0
4957.0,2.371698,12997000000.0
5021.0,2.394212,13165000000.0
5055.0,2.430388,13254000000.0
5076.0,2.376549,13309000000.0
5082.0,2.360292,13325000000.0
5115.0,2.371709,13411000000.0
5127.0,2.384876,13443000000.0
5143.0,2.374552,13485000000.0
5198.0,2.356108,13629000000.0
5203.0,2.365891,13642000000.0
5275.0,2.364234,13831000000.0
5296.0,2.381858,13886000000.0
5302.0,2.372869,13901000000.0
5313.0,2.363722,13930000000.0
5346.0,2.372067,14017000000.0
5375.0,2.367152,14093000000.0
5399.0,2.355144,14156000000.0
5426.0,2.349115,14227000000.0
5445.0,2.37178,14276000000.0
5459.0,2.363778,14313000000.0
5460.0,2.379546,14316000000.0
5502.0,2.345822,14426000000.0
5525.0,2.36182,14486000000.0
5570.0,2.377113,14604000000.0
5580.0,2.355348,14630000000.0
5594.0,2.344269,14667000000.0
5620.0,2.346734,14735000000.0
5633.0,2.356061,14769000000.0
5796.0,2.344584,15196000000.0
5812.0,2.357641,15238000000.0
5832.0,2.390983,15291000000.0
5885.0,2.340423,15430000000.0
5897.0,2.341311,15461000000.0
5940.0,2.373283,15574000000.0
6017.0,2.348672,15776000000.0
6068.0,2.362166,15910000000.0
6078.0,2.374372,15936000000.0
6099.0,2.341041,15991000000.0
6106.0,2.360116,16009000000.0
6249.0,2.34688,16384000000.0
6259.0,2.345859,16410000000.0
6293.0,2.340353,16498999999.999998
6294.0,2.367409,16501999999.999998
6378.0,2.352938,16722000000.000002
6395.0,2.349776,16767000000.0
6421.0,2.32873,16835000000.0
6437.0,2.330085,16876999999.999998
6457.0,2.358142,16928999999.999998
6486.0,2.35595,17004999999.999998
6492.0,2.352731,17021000000.0
6553.0,2.334141,17181000000.0
6593.0,2.332688,17286000000.0
6644.0,2.337488,17419000000.0
6707.0,2.330694,17585000000.0
6716.0,2.329237,17608000000.0
6758.0,2.330521,17718000000.0
6769.0,2.34651,17747000000.0
6806.0,2.334069,17844000000.0
6823.0,2.342535,17889000000.0
6854.0,2.341839,17970000000.0
6861.0,2.349409,17988000000.0
6866.0,2.315737,18001000000.0
6937.0,2.330683,18188000000.0
6948.0,2.331086,18216000000.0
7001.0,2.319474,18355000000.0
7011.0,2.324587,18382000000.0
7029.0,2.349383,18429000000.0
7056.0,2.315776,18500000000.0
7177.0,2.327874,18817000000.0
7195.0,2.320095,18864000000.0
7242.0,2.324227,18987000000.0
7309.0,2.317346,19163000000.0
7360.0,2.336903,19296000000.0
7380.0,2.328737,19349000000.0
7399.0,2.309574,19399000000.0
7437.0,2.339095,19498000000.0
7445.0,2.319254,19519000000.0
7456.0,2.310992,19548000000.0
7473.0,2.33008,19593000000.0
7487.0,2.328917,19629000000.0
7551.0,2.304693,19797000000.0
7592.0,2.29665,19905000000.0
7643.0,2.316777,20038000000.0
7646.0,2.330523,20046000000.0
7658.0,2.311542,20078000000.0
7683.0,2.325692,20143000000.0
7752.0,2.325541,20324000000.0
7765.0,2.321977,20358000000.0
7841.0,2.313564,20557000000.0
7877.0,2.314777,20652000000.0
7895.0,2.318444,20699000000.0
7906.0,2.33189,20728000000.0
7908.0,2.318592,20733000000.0
7937.0,2.321422,20809000000.0
7965.0,2.326745,20882000000.0
8094.0,2.320354,21221000000.0
8140.0,2.33355,21341000000.0
8175.0,2.30258,21433000000.0
8176.0,2.317205,21436000000.0
8214.0,2.28977,21535000000.0
8268.0,2.332835,21677000000.0
8270.0,2.310298,21682000000.0
8290.0,2.304179,21734000000.0
8309.0,2.321221,21784000000.0
8380.0,2.321546,21970000000.0
8384.0,2.313381,21981000000.0
8391.0,2.300225,21999000000.0
8425.0,2.276338,22088000000.0
8440.0,2.297144,22128000000.0
8463.0,2.289192,22188000000.0
8479.0,2.30844,22230000000.0
8527.0,2.318921,22356000000.0
8555.0,2.310028,22429000000.0
8561.0,2.304956,22445000000.0
8564.0,2.321741,22453000000.0
8625.0,2.289716,22613000000.0
8652.0,2.293563,22683000000.0
8655.0,2.32572,22691000000.0
8687.0,2.313751,22775000000.0
8696.0,2.30665,22799000000.0
8758.0,2.296617,22961000000.0
8768.0,2.312082,22987000000.0
8777.0,2.326271,23011000000.0
8816.0,2.273749,23113000000.0
8839.0,2.299837,23174000000.0
8889.0,2.312903,23305000000.0
8896.0,2.281571,23323000000.0
8901.0,2.293595,23336000000.0
8909.0,2.320838,23357000000.0
8922.0,2.309092,23391000000.0
8930.0,2.302193,23412000000.0
8951.0,2.295568,23467000000.0
8962.0,2.320503,23496000000.0
9004.0,2.313745,23606000000.0
9012.0,2.322988,23627000000.0
9029.0,2.28108,23672000000.0
9057.0,2.295507,23745000000.0
9101.0,2.330269,23860000000.0
9115.0,2.32475,23897000000.0
9154.0,2.303553,23999000000.0
9176.0,2.301321,24057000000.0
9177.0,2.28924,24060000000.0
9184.0,2.306244,24078000000.0
9202.0,2.292996,24125000000.0
9215.0,2.293746,24159000000.0
9275.0,2.284922,24316000000.0
9314.0,2.318745,24419000000.0
9315.0,2.304288,24421000000.0
9324.0,2.290922,24445000000.0
9486.0,2.287185,24870000000.0
9487.0,2.326039,24872000000.0
9497.0,2.298724,24898000000.0
9535.0,2.317828,24998000000.0
9590.0,2.284713,25142000000.0
9633.0,2.29296,25255000000.0
9658.0,2.279822,25320000000.0
9777.0,2.322989,25632000000.0
9795.0,2.295755,25680000000.0
9928.0,2.28957,26028000000.0
9941.0,2.299456,26062000000.0
