step,ce,tokens
54.0,6.735031,101000000.0
75.0,6.086118,139000000.0
89.0,5.841541,165000000.0
102.0,5.629479,189000000.0
130.0,5.302861,240000000.0
145.0,5.116756,268000000.00000003
196.0,4.650642,361000000.0
197.0,4.694238,363000000.0
199.0,4.631,367000000.0
204.0,4.62038,376000000.0
224.0,4.538755,413000000.0
327.0,4.219886,602000000.0
348.0,4.221997,640000000.0
358.0,4.168492,659000000.0
367.0,4.103791,675000000.0
385.0,3.844822,708000000.0
390.0,3.810992,717000000.0
414.0,3.652129,762000000.0
442.0,3.698477,813000000.0
450.0,4.146842,828000000.0
488.0,3.62173,897000000.0
500.0,3.513699,919000000.0
513.0,3.435318,943000000.0
587.0,3.356684,1079000000.0
642.0,3.788179,1180000000.0
650.0,3.573949,1195000000.0
667.0,3.364844,1226000000.0
688.0,3.320076,1264000000.0
699.0,3.278193,1285000000.0
702.0,3.211066,1290000000.0
739.0,3.265113,1358000000.0
775.0,3.178987,1424000000.0
827.0,3.131525,1519000000.0
1001.0,2.981355,1839000000.0
1029.0,3.008125,1890000000.0
1050.0,2.990854,1929000000.0
1054.0,2.998707,1936000000.0
1132.0,2.939052,2079000000.0000002
1141.0,2.95519,2096000000.0
1157.0,2.907458,2125000000.0
1174.0,2.934985,2156000000.0
1191.0,2.936755,2187000000.0
1286.0,2.901107,2362000000.0
1315.0,2.844254,2415000000.0
1322.0,2.856563,2428000000.0
1323.0,2.852294,2430000000.0
1334.0,2.874359,2450000000.0
1366.0,3.163788,2508000000.0
1376.0,3.233814,2527000000.0
1405.0,2.8595,2580000000.0
1416.0,2.849265,2600000000.0
1424.0,2.84195,2615000000.0
1501.0,2.815364,2756000000.0
1519.0,2.817439,2789000000.0
1540.0,2.814494,2828000000.0
1548.0,2.785588,2842000000.0
1565.0,2.810565,2874000000.0
1579.0,2.78424,2899000000.0
1593.0,2.797396,2925000000.0
1605.0,2.819,2947000000.0
1639.0,2.75462,3009000000.0
1681.0,2.77702,3086000000.0
1727.0,2.741574,3171000000.0
1754.0,2.727163,3220000000.0
1770.0,2.706984,3250000000.0
1816.0,2.743941,3334000000.0
1834.0,2.714704,3367000000.0
1836.0,2.737005,3371000000.0
1854.0,2.691514,3404000000.0
1857.0,2.708278,3409000000.0
1882.0,2.708541,3455000000.0
1884.0,2.686354,3459000000.0
1890.0,2.677712,3470000000.0
1923.0,2.712364,3531000000.0
1998.0,2.678203,3668000000.0
2144.0,2.648427,3936000000.0
2220.0,2.615462,4075999999.9999995
2254.0,2.625388,4138000000.0
2314.0,2.620965,4248000000.0
2329.0,2.600714,4276000000.0
2411.0,2.610821,4426000000.0
2427.0,2.592947,4455000000.0
2432.0,2.588545,4465000000.0
2454.0,2.600051,4505000000.0
2476.0,2.605988,4545000000.0
2508.0,2.596469,4604000000.0
2513.0,2.600266,4613000000.0
2574.0,2.568858,4725000000.0
2632.0,2.563523,4832000000.0
2660.0,2.550633,4883000000.0
2669.0,2.5739,4899000000.0
2675.0,2.5851,4910000000.0
2724.0,2.583265,5000000000.0
2771.0,2.577493,5087000000.0
2793.0,2.569035,5127000000.0
2887.0,2.552684,5300000000.0
2917.0,2.571798,5355000000.0
2925.0,2.512608,5369000000.0
2928.0,2.550558,5375000000.0
2993.0,2.52674,5494000000.0
2995.0,2.555192,5498000000.0
3046.0,2.518532,5591000000.0
3072.0,2.522937,5639000000.0
3106.0,2.55204,5701000000.0
3120.0,2.534312,5727000000.0
3127.0,2.53916,5740000000.0
3150.0,2.499408,5782000000.0
3162.0,2.519168,5804000000.0
3165.0,2.509685,5810000000.0
3207.0,2.501967,5887000000.0
3256.0,2.512349,5977000000.0
